Profit & Loss account of Aagam Capital (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
INCOME,--,--,--,--,--,--,--
Revenue From Operations [Gross],0.05,0.06,0.15,0.18,0.17,--,--
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,--,--
Revenue From Operations [Net],0.05,0.06,0.15,0.18,0.17,--,--
Total Operating Revenues,0.05,0.06,0.15,0.18,0.17,--,--
Other Income,0.02,0.00,0.00,0.00,0.00,--,--
Total Revenue,0.07,0.06,0.15,0.18,0.17,--,--
EXPENSES,--,--,--,--,--,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,0.07,0.00,0.01,0.01,0.00,--,--
Finance Costs,0.00,0.00,0.00,0.00,0.00,--,--
Depreciation And Amortisation Expenses,0.00,0.00,0.00,0.00,0.00,--,--
Other Expenses,0.16,0.10,0.10,0.10,0.08,--,--
Total Expenses,0.23,0.10,0.11,0.12,0.08,--,--
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",-0.16,-0.04,0.05,0.06,0.09,--,--
Exceptional Items,0.00,0.00,0.00,0.00,0.00,--,--
Profit/Loss Before Tax,-0.16,-0.04,0.05,0.06,0.09,--,--
Tax Expenses-Continued Operations,--,--,--,--,--,--,--
Current Tax,0.00,0.00,0.00,0.00,0.00,--,--
Less: MAT Credit Entitlement,0.00,0.00,0.00,-0.45,0.00,--,--
Deferred Tax,0.00,0.00,0.00,0.00,0.00,--,--
Tax For Earlier Years,0.03,0.00,0.00,0.00,0.00,--,--
Total Tax Expenses,0.04,0.00,0.00,0.45,0.00,--,--
Profit/Loss After Tax And Before ExtraOrdinary Items,-0.20,-0.04,0.05,-0.38,0.08,--,--
Profit/Loss From Continuing Operations,-0.20,-0.04,0.05,-0.38,0.08,--,--
Profit/Loss For The Period,-0.20,-0.04,0.05,-0.38,0.08,--,--
OTHER ADDITIONAL INFORMATION,--,--,--,--,--,--,--
EARNINGS PER SHARE,--,--,--,--,--,--,--
Basic EPS (Rs.),-0.39,-0.08,0.10,-0.77,0.17,--,--
Diluted EPS (Rs.),-0.39,-0.08,0.10,-0.77,0.17,--,--
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
"STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
DIVIDEND AND DIVIDEND PERCENTAGE,--,--,--,--,--,--,--
Equity Share Dividend,0.00,0.00,0.00,0.00,0.00,--,--
Tax On Dividend,0.00,0.00,0.00,0.00,0.00,--,--
Equity Dividend Rate (%),0.00,0.00,0.00,0.00,0.00,--,--
