Half Yearly Results of Aagam Capital (in Rs. Cr.),Sep '22,Mar '22,Sep '21,Mar '21,Sep '20,--,--
Net Sales/Income from operations,0.02,0.02,0.03,0.03,0.03,--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,0.02,0.02,0.03,0.03,0.03,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,0.04,0.04,0.03,0.00,--,--,--
Depreciation,--,--,--,--,--,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,0.03,0.14,0.02,0.08,0.01,--,--
P/L Before Other,-0.04,-0.16,-0.02,-0.06,0.02,--,--
Other Income,--,0.00,0.01,--,--,--,--
P/L Before Int.,-0.04,-0.16,0.00,-0.06,0.02,--,--
Interest,0.00,0.00,0.00,0.00,0.00,--,--
P/L Before Exceptional Items & Tax,-0.04,-0.16,0.00,-0.06,0.02,--,--
Exceptional Items,--,--,--,--,--,--,--
P/L Before Tax,-0.04,-0.16,0.00,-0.06,0.02,--,--
Tax,--,0.04,--,--,--,--,--
P/L After Tax from Ordinary Activities,-0.04,-0.19,0.00,-0.06,0.02,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-0.04,-0.19,0.00,-0.06,0.02,--,--
Equity Share Capital,5.00,5.00,5.00,5.00,5.00,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,-0.09,-0.38,-0.01,-0.11,0.03,--,--
Diluted EPS,-0.09,--,-0.01,--,0.03,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,-0.09,-0.38,-0.01,-0.11,0.03,--,--
Diluted EPS.,-0.09,--,-0.01,--,0.03,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
