Nine Months Results of Aagam Capital (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,--,--
Net Sales/Income from operations,0.03,0.06,0.05,0.14,0.13,--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,0.03,0.06,0.05,0.14,0.13,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,0.06,0.05,--,0.01,0.01,--,--
Depreciation,--,--,--,0.00,0.00,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,0.04,0.10,0.03,0.07,0.07,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-0.07,-0.10,0.01,0.06,0.05,--,--
Other Income,--,--,--,0.00,0.00,--,--
"P/L Before Int., Excpt. Items & Tax",-0.07,-0.10,0.01,0.06,0.05,--,--
Interest,0.00,0.00,0.00,0.00,0.00,--,--
P/L Before Exceptional Items & Tax,-0.07,-0.10,0.01,0.06,0.05,--,--
Exceptional Items,--,--,--,--,--,--,--
P/L Before Tax,-0.07,-0.10,0.01,0.06,0.05,--,--
Tax,--,--,--,--,0.00,--,--
P/L After Tax from Ordinary Activities,-0.07,-0.10,0.01,0.06,0.05,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-0.07,-0.10,0.01,0.06,0.05,--,--
Equity Share Capital,5.00,5.00,5.00,5.00,5.00,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,-2.55,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,-0.13,-0.19,0.03,0.12,0.11,--,--
Diluted EPS,-0.13,-0.19,0.03,0.12,0.11,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,-0.13,-0.19,0.03,0.12,0.11,--,--
Diluted EPS.,-0.13,-0.19,0.03,0.12,0.11,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company) ,--,--,--,--,--,--,--
