Key Financial Ratios of Aagam Capital (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Per Share Ratios,--,--,--,--,--,--,--
Basic EPS (Rs.),-0.39,-0.08,0.10,-0.77,0.17,--,--
Diluted EPS (Rs.),-0.39,-0.08,0.10,-0.77,0.17,--,--
Cash EPS (Rs.),-0.39,-0.08,0.10,-0.76,0.17,--,--
Book Value [ExclRevalReserve]/Share (Rs.),3.65,4.04,4.13,4.03,4.79,--,--
Book Value [InclRevalReserve]/Share (Rs.),3.65,4.04,4.13,4.03,4.79,--,--
Dividend / Share(Rs.),0.00,0.00,0.00,0.00,0.00,--,--
Revenue from Operations/Share (Rs.),0.11,0.12,0.31,0.36,0.34,--,--
PBDIT/Share (Rs.),-0.32,-0.08,0.10,0.13,0.17,--,--
PBIT/Share (Rs.),-0.32,-0.08,0.10,0.13,0.17,--,--
PBT/Share (Rs.),-0.32,-0.08,0.10,0.13,0.17,--,--
Net Profit/Share (Rs.),-0.39,-0.08,0.10,-0.77,0.17,--,--
Profitability Ratios,--,--,--,--,--,--,--
PBDIT Margin (%),-300.02,-60.46,32.70,37.04,51.50,--,--
PBIT Margin (%),-300.02,-60.46,32.49,36.41,50.74,--,--
PBT Margin (%),-302.60,-64.25,31.82,36.02,50.52,--,--
Net Profit Margin (%),-368.27,-65.19,31.41,-214.60,49.59,--,--
Return on Networth / Equity (%),-10.77,-2.00,2.34,-19.02,3.48,--,--
Return on Capital Employed (%),-7.84,-1.66,2.22,3.22,3.56,--,--
Return on Assets (%),-9.43,-1.75,2.15,-17.56,3.32,--,--
Total Debt/Equity (X),0.02,0.03,0.00,0.00,0.00,--,--
Asset Turnover Ratio (%),0.02,0.03,6.85,8.18,6.70,--,--
Liquidity Ratios,--,--,--,--,--,--,--
Current Ratio (X),46.98,41.07,0.00,11.94,16.60,--,--
Quick Ratio (X),46.98,41.07,0.00,11.94,16.60,--,--
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,--,--
Dividend Payout Ratio (NP) (%),0.00,0.00,0.00,0.00,0.00,--,--
Dividend Payout Ratio (CP) (%),0.00,0.00,0.00,0.00,0.00,--,--
Earnings Retention Ratio (%),0.00,0.00,0.00,0.00,0.00,--,--
Cash Earnings Retention Ratio (%),0.00,0.00,0.00,0.00,0.00,--,--
Valuation Ratios,--,--,--,--,--,--,--
Enterprise Value (Cr.),0.00,0.00,0.00,23.23,23.23,--,--
EV/Net Operating Revenue (X),0.00,0.00,0.00,130.09,137.87,--,--
EV/EBITDA (X),0.00,0.00,0.00,351.16,267.66,--,--
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,130.19,138.01,--,--
Retention Ratios (%),0.00,0.00,0.00,0.00,0.00,--,--
Price/BV (X),0.00,0.00,0.00,11.54,9.70,--,--
Price/Net Operating Revenue,0.00,0.00,0.00,130.25,138.39,--,--
Earnings Yield,0.00,0.00,0.00,-0.02,0.00,--,--
