,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,0.07,0.00,0.01,0.01,0.00,--,--
Finance Costs,0.00,0.00,0.00,0.00,0.00,--,--
Depreciation And Amortisation Expenses,0.00,0.00,0.00,0.00,0.00,--,--
Other Expenses,0.16,0.10,0.10,0.10,0.08,--,--
Total Tax Expenses,0.04,0.00,0.00,0.45,0.00,--,--
Exceptional Items,0.00,0.00,0.00,0.00,0.00,--,--
