Yearly Results of Adani Green Energy Limited (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,--,--
Net Sales/Income from operations,"10,672.00","2,452.00","1,246.08",318.13,98.44,--,--
Other Operating Income,--,21.00,0.77,--,--,--,--
Total Income From Operations,"10,672.00","2,473.00","1,246.84",318.13,98.44,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,84.92,--,--
Purchase of Traded Goods,"12,559.00","4,409.00","1,369.81",297.70,--,--,--
Increase/Decrease in Stocks,"-2,071.00","-2,014.00",-165.09,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,26.00,16.00,28.82,25.67,16.59,--,--
Depreciation,7.00,4.00,3.04,8.34,9.30,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,-16.00,18.00,54.85,39.99,10.55,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",167.00,40.00,-44.57,-53.57,-22.93,--,--
Other Income,438.00,519.00,332.69,302.65,57.47,--,--
"P/L Before Int., Excpt. Items & Tax",605.00,559.00,288.11,249.08,34.53,--,--
Interest,775.00,258.00,213.15,288.24,69.06,--,--
P/L Before Exceptional Items & Tax,-170.00,301.00,74.97,-39.16,-34.53,--,--
Exceptional Items,41.00,122.00,--,--,--,--,--
P/L Before Tax,-129.00,423.00,74.97,-39.16,-34.53,--,--
Tax,-72.00,59.00,-59.29,-4.18,-5.91,--,--
P/L After Tax from Ordinary Activities,-57.00,364.00,134.26,-34.98,-28.61,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-57.00,364.00,134.26,-34.98,-28.61,--,--
Equity Share Capital,"1,564.00","1,564.00","1,564.01","1,564.01","1,376.75",--,--
Reserves Excluding Revaluation Reserves,-44.00,157.00,-124.57,-155.20,-120.11,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,-0.76,1.93,0.46,-0.32,-0.21,--,--
Diluted EPS,-0.76,1.93,0.46,-0.32,-0.21,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,-0.76,1.93,0.46,-0.32,-0.21,--,--
Diluted EPS.,-0.76,1.93,0.46,-0.32,-0.21,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
