Cash Flow of Adani Green Energy Limited (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
Net Profit/Loss Before Extraordinary Items And Tax,-130.00,423.00,74.97,-39.16,-52.13,--,--
Net CashFlow From Operating Activities,"1,455.00",-718.00,"1,490.48",534.31,-662.83,--,--
Net Cash Used In Investing Activities,"-12,488.00","-2,274.00",-896.71,184.82,"-2,242.46",--,--
Net Cash Used From Financing Activities,"11,028.00","2,807.00",-502.41,-648.53,"2,936.63",--,--
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,--,--
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,--,--
Net Inc/Dec In Cash And Cash Equivalents,-5.00,-185.00,91.36,70.59,31.34,--,--
Cash And Cash Equivalents Begin of Year,15.00,200.00,108.52,37.93,6.58,--,--
Cash And Cash Equivalents End Of Year,10.00,15.00,199.88,108.52,37.93,--,--
