Half Yearly Results of Adani Green Energy Limited (in Rs. Cr.),Sep '22,Mar '22,Sep '21,Mar '21,Sep '20,--,--
Net Sales/Income from operations,"5,079.00","4,378.00","6,294.00","2,247.29",205.79,--,--
Other Operating Income,--,--,--,20.15,--,--,--
Total Income From Operations,"5,079.00","4,378.00","6,294.00","2,267.44",205.79,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,"2,012.00","6,576.00","5,983.00","3,324.21","1,085.33",--,--
Increase/Decrease in Stocks,"2,966.00","-2,264.00",193.00,"-1,122.39",-891.69,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,16.00,15.00,11.00,7.10,9.17,--,--
Depreciation,5.00,4.00,3.00,2.14,1.82,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,292.00,-82.00,66.00,-4.39,21.36,--,--
P/L Before Other,-212.00,129.00,38.00,60.77,-20.20,--,--
Other Income,512.00,220.00,218.00,324.90,193.64,--,--
P/L Before Int.,300.00,349.00,256.00,385.67,173.44,--,--
Interest,261.00,605.00,170.00,148.44,108.78,--,--
P/L Before Exceptional Items & Tax,39.00,-256.00,86.00,237.23,64.66,--,--
Exceptional Items,--,--,41.00,-13.00,134.98,--,--
P/L Before Tax,39.00,-256.00,127.00,224.23,199.65,--,--
Tax,--,-61.00,-11.00,19.50,39.17,--,--
P/L After Tax from Ordinary Activities,39.00,-195.00,138.00,204.74,160.48,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,39.00,-195.00,138.00,204.74,160.48,--,--
Equity Share Capital,"1,584.00","1,564.00","1,564.00","1,564.00","1,564.01",--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,0.05,-1.25,0.69,1.31,0.83,--,--
Diluted EPS,0.05,--,0.69,--,0.83,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,0.05,-1.25,0.69,1.31,0.83,--,--
Diluted EPS.,0.05,--,0.69,--,0.83,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
