Nine Months Results of Adani Green Energy Limited (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,--,--
Net Sales/Income from operations,"5,997.00","8,563.00",418.49,"1,190.26",106.62,--,--
Other Operating Income,--,--,20.74,0.57,--,--,--
Total Income From Operations,"5,997.00","8,563.00",439.23,"1,190.83",106.62,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,"3,402.00",--,--,--,--,--,--
Purchase of Traded Goods,--,"8,643.00","2,696.54","1,157.27",93.78,--,--
Increase/Decrease in Stocks,"2,480.00",-247.00,"-2,296.08",--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,25.00,18.00,16.27,20.84,11.84,--,--
Depreciation,8.00,5.00,2.96,2.22,6.29,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,334.00,-14.00,23.97,38.84,25.81,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",-252.00,158.00,-4.43,-28.34,-31.10,--,--
Other Income,646.00,329.00,323.54,247.77,215.84,--,--
"P/L Before Int., Excpt. Items & Tax",394.00,487.00,319.11,219.43,184.74,--,--
Interest,483.00,487.00,183.22,158.08,231.69,--,--
P/L Before Exceptional Items & Tax,-89.00,--,135.89,61.35,-46.95,--,--
Exceptional Items,--,41.00,134.98,--,--,--,--
P/L Before Tax,-89.00,41.00,270.88,61.35,-46.95,--,--
Tax,-1.00,-18.00,40.67,-8.60,-4.07,--,--
P/L After Tax from Ordinary Activities,-88.00,59.00,230.21,69.95,-42.88,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,-88.00,59.00,230.21,69.95,-42.88,--,--
Equity Share Capital,"1,584.03","1,564.00","1,564.01","1,564.01","1,564.01",--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,-0.85,0.08,1.18,0.15,-0.27,--,--
Diluted EPS,-0.85,0.08,1.18,0.15,-0.27,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,-0.85,0.08,1.18,0.15,-0.27,--,--
Diluted EPS.,-0.85,0.08,1.18,0.15,-0.27,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company) ,--,--,--,--,--,--,--
