Key Financial Ratios of Adani Green Energy Limited (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Per Share Ratios,--,--,--,--,--,--,--
Basic EPS (Rs.),-0.76,1.93,0.46,-0.32,-0.30,--,--
Diluted EPS (Rs.),-0.76,1.93,0.46,-0.32,-0.30,--,--
Cash EPS (Rs.),-0.33,2.35,0.88,-0.17,-0.24,--,--
Book Value [ExclRevalReserve]/Share (Rs.),9.72,11.00,9.20,9.01,9.23,--,--
Book Value [InclRevalReserve]/Share (Rs.),9.72,11.00,9.20,9.01,9.23,--,--
Dividend / Share(Rs.),0.00,0.00,0.00,0.00,0.00,--,--
Revenue from Operations/Share (Rs.),68.24,15.81,7.97,2.03,10.99,--,--
PBDIT/Share (Rs.),3.91,3.59,1.86,1.65,0.56,--,--
PBIT/Share (Rs.),3.86,3.57,1.84,1.59,0.50,--,--
PBT/Share (Rs.),-0.83,2.70,0.48,-0.25,-0.33,--,--
Net Profit/Share (Rs.),-0.37,2.33,0.86,-0.22,-0.30,--,--
Profitability Ratios,--,--,--,--,--,--,--
PBDIT Margin (%),5.72,22.72,23.35,80.91,5.12,--,--
PBIT Margin (%),5.65,22.56,23.10,78.29,4.58,--,--
PBT Margin (%),-1.21,17.10,6.01,-12.31,-3.03,--,--
Net Profit Margin (%),-0.54,14.71,10.76,-10.99,-2.68,--,--
Return on Networth / Equity (%),-3.81,21.15,9.32,-2.48,-3.20,--,--
Return on Capital Employed (%),3.11,12.02,8.43,6.38,2.12,--,--
Return on Assets (%),-0.20,2.54,2.09,-0.64,-0.86,--,--
Total Debt/Equity (X),11.37,3.09,1.13,1.62,2.41,--,--
Asset Turnover Ratio (%),0.51,17.29,19.49,5.87,32.26,--,--
Liquidity Ratios,--,--,--,--,--,--,--
Current Ratio (X),0.83,0.64,1.87,2.16,2.18,--,--
Quick Ratio (X),0.31,0.39,1.73,1.99,2.18,--,--
Inventory Turnover Ratio (X),0.00,1.02,3.01,1.27,602.86,--,--
Dividend Payout Ratio (NP) (%),0.00,0.00,0.00,0.00,0.00,--,--
Dividend Payout Ratio (CP) (%),0.00,0.00,0.00,0.00,0.00,--,--
Earnings Retention Ratio (%),0.00,0.00,0.00,0.00,0.00,--,--
Cash Earnings Retention Ratio (%),0.00,0.00,0.00,0.00,0.00,--,--
Valuation Ratios,--,--,--,--,--,--,--
Enterprise Value (Cr.),"316,175.76","177,840.52","25,452.33","7,985.88",0.00,--,--
EV/Net Operating Revenue (X),29.63,71.91,20.41,25.10,0.00,--,--
EV/EBITDA (X),517.47,316.44,87.42,31.02,0.00,--,--
MarketCap/Net Operating Revenue (X),28.04,69.84,19.27,18.31,0.00,--,--
Retention Ratios (%),0.00,0.00,0.00,0.00,0.00,--,--
Price/BV (X),196.89,100.36,16.70,4.14,0.00,--,--
Price/Net Operating Revenue,28.04,69.84,19.27,18.31,0.00,--,--
Earnings Yield,0.00,0.00,0.01,-0.01,0.00,--,--
