,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,81.43,--,--
Purchase Of Stock-In Trade ,"12,559.00","4,409.00","1,369.81",547.03,"1,587.02",--,--
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade","-2,072.00","-2,014.00",-165.09,-249.33,0.00,--,--
Employee Benefit Expenses,26.00,16.00,28.82,25.67,16.59,--,--
Finance Costs,775.00,257.00,213.15,288.24,130.98,--,--
Depreciation And Amortisation Expenses,7.00,4.00,3.04,8.34,9.30,--,--
Other Expenses,37.00,33.00,55.12,39.99,12.28,--,--
Total Tax Expenses,-72.00,59.00,-59.29,-4.18,-5.91,--,--
Exceptional Items,41.00,122.00,0.00,0.00,0.00,--,--
