Profit & Loss account of Apollo Hospitals Enterprises (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
INCOME,--,--,--,--,--,--,--
Revenue From Operations [Gross],"6,066.50","9,084.40","9,720.70","8,308.70","7,159.19",--,--
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,--,--
Revenue From Operations [Net],"6,066.50","9,084.40","9,720.70","8,308.70","7,159.19",--,--
Total Operating Revenues,"6,098.30","9,153.00","9,794.40","8,336.66","7,183.01",--,--
Other Income,47.00,18.10,10.90,12.24,12.59,--,--
Total Revenue,"6,145.30","9,171.10","9,805.30","8,348.90","7,195.60",--,--
EXPENSES,--,--,--,--,--,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,"4,155.20","3,754.20","3,049.30","2,614.22",--,--
Operating And Direct Expenses,"1,929.30","1,329.90","1,532.10","1,391.68","1,268.00",--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,-127.60,-104.30,-72.00,-80.93,--,--
Employee Benefit Expenses,"1,150.50","1,275.10","1,519.20","1,295.09","1,118.81",--,--
Finance Costs,244.00,343.80,425.90,268.02,240.17,--,--
Depreciation And Amortisation Expenses,363.40,435.90,482.30,299.90,272.00,--,--
Other Expenses,"1,599.10","1,573.10","1,677.90","1,654.45","1,433.18",--,--
Total Expenses,"5,286.30","8,985.40","9,287.30","7,886.43","6,865.46",--,--
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",859.00,185.70,518.00,462.47,330.14,--,--
Exceptional Items,-6.70,-9.10,164.40,0.00,0.00,--,--
Profit/Loss Before Tax,852.30,176.60,682.40,462.47,330.14,--,--
Tax Expenses-Continued Operations,--,--,--,--,--,--,--
Current Tax,40.30,62.10,118.20,111.20,74.35,--,--
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,--,--
Deferred Tax,239.50,9.50,93.90,48.51,22.59,--,--
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,--,--
Total Tax Expenses,279.80,71.60,212.10,159.71,96.94,--,--
Profit/Loss After Tax And Before ExtraOrdinary Items,572.50,105.00,470.30,302.76,233.20,--,--
Profit/Loss From Continuing Operations,572.50,105.00,470.30,302.76,233.20,--,--
Profit/Loss For The Period,665.20,105.00,470.30,302.76,233.20,--,--
OTHER ADDITIONAL INFORMATION,--,--,--,--,--,--,--
EARNINGS PER SHARE,--,--,--,--,--,--,--
Basic EPS (Rs.),46.25,7.50,33.80,21.76,16.76,--,--
Diluted EPS (Rs.),46.25,7.50,33.80,21.76,16.76,--,--
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
"STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
DIVIDEND AND DIVIDEND PERCENTAGE,--,--,--,--,--,--,--
Equity Share Dividend,43.10,38.30,128.70,69.56,69.56,--,--
Tax On Dividend,0.00,0.00,26.40,14.16,30.91,--,--
Equity Dividend Rate (%),235.00,60.00,120.00,120.00,100.00,--,--
