Cash Flow of Apollo Hospitals Enterprises (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
Net Profit/Loss Before Extraordinary Items And Tax,665.20,105.00,470.30,302.73,233.20,--,--
Net CashFlow From Operating Activities,"1,201.00",915.40,"1,096.10",907.27,538.75,--,--
Net Cash Used In Investing Activities,-444.80,-764.70,-263.90,-775.56,-378.07,--,--
Net Cash Used From Financing Activities,-637.20,-175.40,-770.70,-159.69,-106.21,--,--
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,--,--
Adjustments On Amalgamation Merger Demerger Others,1.30,-16.50,0.00,0.00,0.00,--,--
Net Inc/Dec In Cash And Cash Equivalents,120.30,-41.20,61.50,-27.98,54.46,--,--
Cash And Cash Equivalents Begin of Year,239.30,280.50,219.00,246.94,192.48,--,--
Cash And Cash Equivalents End Of Year,359.60,239.30,280.50,218.96,246.94,--,--
