"Yearly Results of Apollo Hospitals Enterprises (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"
"Net Sales/Income from operations","6,098.33","9,153.04","9,794.43","8,336.66","7,183.01"
"Other Operating Income","--","--","--","--","--"
"Total Income From Operations","6,098.33","9,153.04","9,794.43","8,336.66","7,183.01"
"EXPENDITURE","","","","",""
"Consumption of Raw Materials","1,929.33","1,329.86","1,532.12","1,391.68","1,268.00"
"Purchase of Traded Goods","--","4,155.20","3,754.19","3,049.30","2,614.22"
"Increase/Decrease in Stocks","--","-127.63","-104.33","-72.00","-80.92"
"Power & Fuel","--","--","--","--","--"
"Employees Cost","1,150.48","1,275.11","1,519.18","1,295.09","1,118.81"
"Depreciation","363.42","435.95","482.26","299.89","272.00"
"Excise Duty","--","--","--","--","--"
"Admin. And Selling Expenses","--","--","--","--","--"
"R & D Expenses","--","--","--","--","--"
"Provisions And Contingencies","--","--","--","--","--"
"Exp. Capitalised","--","--","--","--","--"
"Other Expenses","1,599.18","1,573.09","1,678.03","1,654.45","1,433.19"
"P/L Before Other Inc. , Int., Excpt. Items & Tax","1,055.92","511.46","932.98","718.25","557.71"
"Other Income","46.99","18.15","10.91","12.24","12.59"
"P/L Before Int., Excpt. Items & Tax","1,102.91","529.61","943.89","730.49","570.30"
"Interest","244.04","343.80","425.88","268.02","240.17"
"P/L Before Exceptional Items & Tax","858.87","185.81","518.01","462.47","330.13"
"Exceptional Items","-6.74","-9.09","164.35","--","--"
"P/L Before Tax","852.13","176.72","682.36","462.47","330.13"
"Tax","279.79","71.57","212.11","159.71","96.93"
"P/L After Tax from Ordinary Activities","572.34","105.15","470.25","302.76","233.20"
"Prior Year Adjustments","--","--","--","--","--"
"Extra Ordinary Items","92.69","--","--","--","--"
"Net Profit/(Loss) For the Period","665.03","105.15","470.25","302.76","233.20"
"Equity Share Capital","71.89","71.89","69.56","69.56","69.56"
"Reserves Excluding Revaluation Reserves","6,038.80","5,129.60","3,918.80","3,813.85","3,623.94"
"Equity Dividend Rate (%)","235.00","60.00","120.00","120.00","100.00"
"EPS Before Extra Ordinary","","","","",""
"Basic EPS","46.25","7.51","33.80","21.76","16.76"
"Diluted EPS","46.25","7.51","33.80","21.76","16.76"
"EPS After Extra Ordinary","","","","",""
"Basic EPS.","46.25","7.51","33.80","21.76","16.76"
"Diluted EPS.","46.25","7.51","33.80","21.76","16.76"
"Public Share Holding","","","","",""
"No Of Shares (Crores)","--","--","--","--","--"
"Share Holding (%)","--","--","--","--","--"
"Promoters and Promoter Group Shareholding","","","","",""
"a) Pledged/Encumbered","","","","",""
"- Number of shares (Crores)","--","--","--","--","--"
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"
"b) Non-encumbered","","","","",""
"- Number of shares (Crores).","--","--","--","--","--"
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"
