Profit & Loss account of Arihant Capital Markets (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
INCOME,--,--,--,--,--,--,--
Revenue From Operations [Gross],152.37,109.34,79.05,79.49,91.26,--,--
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,--,--
Revenue From Operations [Net],152.37,109.34,79.05,79.49,91.26,--,--
Total Operating Revenues,152.38,109.38,79.14,79.52,91.26,--,--
Other Income,0.32,0.46,0.12,0.24,3.01,--,--
Total Revenue,152.69,109.84,79.26,79.76,94.27,--,--
EXPENSES,--,--,--,--,--,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,53.88,33.83,23.19,25.87,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,16.72,16.27,14.41,13.33,12.28,--,--
Finance Costs,5.74,3.20,7.72,8.66,6.69,--,--
Depreciation And Amortisation Expenses,1.12,1.17,1.15,1.14,0.93,--,--
Other Expenses,16.10,11.11,9.00,8.65,45.69,--,--
Total Expenses,93.74,65.69,55.97,57.71,65.58,--,--
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",58.95,44.15,23.29,22.05,28.69,--,--
Exceptional Items,8.55,0.00,0.00,0.00,0.00,--,--
Profit/Loss Before Tax,67.50,44.15,23.29,22.05,28.69,--,--
Tax Expenses-Continued Operations,--,--,--,--,--,--,--
Current Tax,12.32,9.44,5.55,6.72,8.49,--,--
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,--,--
Deferred Tax,1.11,-0.05,-0.02,-0.20,0.16,--,--
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,--,--
Total Tax Expenses,13.43,9.39,5.53,6.52,8.65,--,--
Profit/Loss After Tax And Before ExtraOrdinary Items,54.07,34.75,17.76,15.53,20.03,--,--
Profit/Loss From Continuing Operations,54.07,34.75,17.76,15.53,20.03,--,--
Profit/Loss For The Period,54.07,34.75,17.76,15.53,20.03,--,--
OTHER ADDITIONAL INFORMATION,--,--,--,--,--,--,--
EARNINGS PER SHARE,--,--,--,--,--,--,--
Basic EPS (Rs.),25.97,16.69,8.53,7.46,9.62,--,--
Diluted EPS (Rs.),25.97,16.69,8.53,7.46,9.62,--,--
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
"STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
DIVIDEND AND DIVIDEND PERCENTAGE,--,--,--,--,--,--,--
Equity Share Dividend,2.08,2.08,1.56,1.56,1.56,--,--
Tax On Dividend,0.00,0.00,0.18,0.32,0.17,--,--
Equity Dividend Rate (%),30.00,20.00,20.00,15.00,15.00,--,--
