Yearly Results of Arihant Capital Markets (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,--,--
Net Sales/Income from operations,152.37,109.34,79.05,73.83,91.26,--,--
Other Operating Income,0.01,0.04,0.09,--,--,--,--
Total Income From Operations,152.38,109.38,79.14,73.83,91.26,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,16.72,16.27,14.41,13.30,12.28,--,--
Depreciation,1.12,1.17,1.15,1.14,0.93,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,16.10,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,0.18,0.11,0.50,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,53.88,44.94,32.19,34.59,45.69,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",64.37,46.89,30.89,24.80,32.36,--,--
Other Income,0.32,0.46,0.12,7.34,3.01,--,--
"P/L Before Int., Excpt. Items & Tax",64.69,47.35,31.01,32.14,35.37,--,--
Interest,5.74,3.20,7.72,8.66,6.69,--,--
P/L Before Exceptional Items & Tax,58.95,44.15,23.29,23.48,28.69,--,--
Exceptional Items,8.55,--,--,--,--,--,--
P/L Before Tax,67.50,44.15,23.29,23.48,28.69,--,--
Tax,13.43,9.39,5.53,6.65,8.65,--,--
P/L After Tax from Ordinary Activities,54.07,34.75,17.76,16.83,20.03,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,54.07,34.75,17.76,16.83,20.03,--,--
Equity Share Capital,10.41,10.41,10.41,10.41,10.41,--,--
Reserves Excluding Revaluation Reserves,197.18,146.74,114.13,98.10,83.73,--,--
Equity Dividend Rate (%),30.00,20.00,20.00,15.00,15.00,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,25.97,16.69,8.53,8.08,9.62,--,--
Diluted EPS,25.97,16.69,8.53,8.08,9.62,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,25.97,16.69,8.53,8.08,9.62,--,--
Diluted EPS.,25.97,16.69,8.53,8.08,9.62,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
