Half Yearly Results of Arihant Capital Markets (in Rs. Cr.),Sep '22,Mar '22,Sep '21,Mar '21,Sep '20,--,--
Net Sales/Income from operations,71.46,78.96,73.40,61.91,47.43,--,--
Other Operating Income,--,0.00,0.01,0.04,--,--,--
Total Income From Operations,71.46,78.96,73.41,61.95,47.43,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,8.67,8.24,8.49,9.50,6.77,--,--
Depreciation,0.77,0.56,0.57,0.51,0.66,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,8.56,8.92,7.18,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,0.09,0.09,0.03,0.28,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,25.61,29.13,24.75,24.34,20.40,--,--
P/L Before Other,27.85,32.03,32.34,27.57,19.32,--,--
Other Income,0.11,0.25,0.07,0.42,0.04,--,--
P/L Before Int.,27.96,32.28,32.41,27.99,19.36,--,--
Interest,3.92,3.49,2.24,1.78,1.42,--,--
P/L Before Exceptional Items & Tax,24.03,28.78,30.17,26.21,17.94,--,--
Exceptional Items,0.31,8.55,--,--,--,--,--
P/L Before Tax,24.34,37.33,30.17,26.21,17.94,--,--
Tax,6.21,6.81,6.62,5.25,4.15,--,--
P/L After Tax from Ordinary Activities,18.13,30.52,23.55,20.96,13.79,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,18.13,30.52,23.55,20.96,13.79,--,--
Equity Share Capital,10.41,10.41,10.41,10.41,10.41,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,1.74,14.66,11.31,10.07,6.62,--,--
Diluted EPS,1.74,--,11.31,--,--,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,1.74,14.66,11.31,10.07,6.62,--,--
Diluted EPS.,1.74,--,11.31,--,--,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
