Nine Months Results of Arihant Capital Markets (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,--,--
Net Sales/Income from operations,104.03,115.56,75.34,52.96,54.84,--,--
Other Operating Income,--,0.01,0.04,--,--,--,--
Total Income From Operations,104.03,115.57,75.38,52.96,54.84,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,13.48,13.08,10.18,10.62,9.47,--,--
Depreciation,1.33,0.84,0.93,0.89,0.84,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,13.83,13.13,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,0.09,0.28,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,35.83,39.74,30.90,23.98,26.41,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",39.57,48.68,33.08,17.47,18.11,--,--
Other Income,0.13,0.16,0.07,7.29,5.20,--,--
"P/L Before Int., Excpt. Items & Tax",39.70,48.84,33.15,24.76,23.32,--,--
Interest,6.38,3.81,2.20,6.18,6.91,--,--
P/L Before Exceptional Items & Tax,33.32,45.04,30.95,18.59,16.40,--,--
Exceptional Items,0.31,0.58,--,--,--,--,--
P/L Before Tax,33.63,45.62,30.95,18.59,16.40,--,--
Tax,8.85,9.31,7.62,4.94,4.41,--,--
P/L After Tax from Ordinary Activities,24.78,36.31,23.33,13.65,11.99,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,24.78,36.31,23.33,13.65,11.99,--,--
Equity Share Capital,10.41,10.41,10.41,10.41,10.41,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,2.38,17.44,11.20,6.56,5.76,--,--
Diluted EPS,2.38,17.44,11.20,6.56,5.76,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,2.38,17.44,11.20,6.56,5.76,--,--
Diluted EPS.,2.38,17.44,11.20,6.56,5.76,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company) ,--,--,--,--,--,--,--
