Quarterly Results of Arihant Capital Markets (in Rs. Cr.),Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,--,--
Net Sales/Income from operations,32.57,37.81,33.65,36.80,42.16,--,--
Other Operating Income,--,--,--,0.00,0.00,--,--
Total Income From Operations,32.57,37.81,33.65,36.81,42.16,--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,4.80,4.39,4.28,3.64,4.59,--,--
depreciat,0.56,0.44,0.33,0.28,0.27,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,5.27,3.87,4.96,2.97,5.95,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,0.09,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,10.22,13.28,12.05,14.13,14.99,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax",11.72,15.83,12.02,15.68,16.35,--,--
Other Income,0.02,0.06,0.05,0.16,0.09,--,--
"P/L Before Int., Excpt. Items & Tax",11.74,15.88,12.07,15.84,16.44,--,--
Interest,2.46,1.88,2.04,1.93,1.56,--,--
P/L Before Exceptional Items & Tax,9.29,14.00,10.03,13.91,14.87,--,--
Exceptional Items,--,0.31,--,7.97,0.58,--,--
P/L Before Tax,9.29,14.31,10.03,21.88,15.45,--,--
Tax,2.64,3.19,3.02,4.12,2.70,--,--
P/L After Tax from Ordinary Activities,6.65,11.12,7.01,17.76,12.76,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,6.65,11.12,7.01,17.76,12.76,--,--
Equity Share Capital,10.41,10.41,10.41,10.41,10.41,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,0.64,1.07,0.67,8.53,6.13,--,--
Diluted EPS,0.64,1.07,0.67,8.53,6.13,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,0.64,1.07,0.67,8.53,6.13,--,--
Diluted EPS.,0.64,1.07,0.67,8.53,6.13,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
