Key Financial Ratios of Arihant Capital Markets (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Per Share Ratios,--,--,--,--,--,--,--
Basic EPS (Rs.),25.97,16.69,8.53,7.46,9.62,--,--
Diluted EPS (Rs.),25.97,16.69,8.53,7.46,9.62,--,--
Cash EPS (Rs.),26.51,17.25,9.08,8.01,10.07,--,--
Book Value [ExclRevalReserve]/Share (Rs.),99.70,75.47,59.81,52.11,45.21,--,--
Book Value [InclRevalReserve]/Share (Rs.),99.70,75.47,59.81,52.11,45.21,--,--
Dividend / Share(Rs.),1.50,1.00,1.00,0.75,0.75,--,--
Revenue from Operations/Share (Rs.),73.18,52.53,38.01,38.19,43.83,--,--
PBDIT/Share (Rs.),31.61,23.30,15.44,15.30,17.43,--,--
PBIT/Share (Rs.),31.07,22.74,14.89,14.75,16.99,--,--
PBT/Share (Rs.),32.42,21.20,11.18,10.59,13.78,--,--
Net Profit/Share (Rs.),25.97,16.69,8.53,7.46,9.62,--,--
Profitability Ratios,--,--,--,--,--,--,--
PBDIT Margin (%),43.18,44.35,40.63,40.05,39.77,--,--
PBIT Margin (%),42.45,43.28,39.17,38.61,38.75,--,--
PBT Margin (%),44.29,40.36,29.42,27.72,31.43,--,--
Net Profit Margin (%),35.48,31.77,22.44,19.52,21.95,--,--
Return on Networth / Equity (%),26.04,22.11,14.26,14.31,21.27,--,--
Return on Capital Employed (%),29.63,28.04,23.97,27.14,37.08,--,--
Return on Assets (%),9.78,8.23,5.98,5.62,8.12,--,--
Total Debt/Equity (X),0.38,0.31,0.28,0.90,0.97,--,--
Asset Turnover Ratio (%),0.31,0.30,26.66,28.79,37.01,--,--
Liquidity Ratios,--,--,--,--,--,--,--
Current Ratio (X),1.61,1.62,1.70,1.62,1.46,--,--
Quick Ratio (X),1.61,1.58,1.65,1.62,1.38,--,--
Inventory Turnover Ratio (X),0.00,0.00,8.20,0.00,7.11,--,--
Dividend Payout Ratio (NP) (%),3.85,5.99,8.79,10.05,7.79,--,--
Dividend Payout Ratio (CP) (%),3.77,5.79,8.25,9.36,7.45,--,--
Earnings Retention Ratio (%),96.15,94.01,91.21,89.95,92.21,--,--
Cash Earnings Retention Ratio (%),96.23,94.21,91.75,90.64,92.55,--,--
Valuation Ratios,--,--,--,--,--,--,--
Enterprise Value (Cr.),666.06,94.15,-60.80,136.07,229.73,--,--
EV/Net Operating Revenue (X),4.37,0.86,-0.77,1.71,2.52,--,--
EV/EBITDA (X),10.12,1.94,-1.89,4.27,6.33,--,--
MarketCap/Net Operating Revenue (X),5.42,1.34,0.76,1.57,2.34,--,--
Retention Ratios (%),96.14,94.00,91.20,89.94,92.20,--,--
Price/BV (X),3.98,0.93,0.48,1.15,2.27,--,--
Price/Net Operating Revenue,5.42,1.34,0.76,1.57,2.34,--,--
Earnings Yield,0.07,0.24,0.29,0.12,0.09,--,--
