,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,53.88,33.83,23.19,25.87,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,16.72,16.27,14.41,13.33,12.28,--,--
Finance Costs,5.74,3.20,7.72,8.66,6.69,--,--
Depreciation And Amortisation Expenses,1.12,1.17,1.15,1.14,0.93,--,--
Other Expenses,16.10,11.11,9.00,8.65,45.69,--,--
Total Tax Expenses,13.43,9.39,5.53,6.52,8.65,--,--
Exceptional Items,8.55,0.00,0.00,0.00,0.00,--,--
