Profit & Loss account of Housing Development Finance Corporation (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
INCOME,--,--,--,--,--,--,--
Revenue From Operations [Gross],"47,957.07","48,149.74","58,738.92","43,348.04","40,689.22",--,--
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,--,--
Revenue From Operations [Net],"47,957.07","48,149.74","58,738.92","43,348.04","40,689.22",--,--
Total Operating Revenues,"47,957.07","48,149.74","58,738.92","43,348.04","40,689.22",--,--
Other Income,33.13,26.12,24.42,29.97,18.27,--,--
Total Revenue,"47,990.20","48,175.86","58,763.34","43,378.01","40,707.49",--,--
EXPENSES,--,--,--,--,--,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,"1,060.79",914.11,592.92,716.53,"1,372.09",--,--
Finance Costs,"26,739.21","28,614.76","31,001.36","27,837.67","23,497.98",--,--
Depreciation And Amortisation Expenses,172.29,158.78,147.74,66.53,49.24,--,--
Other Expenses,839.60,725.12,757.30,703.51,483.54,--,--
Total Expenses,"30,743.89","33,360.77","38,412.42","30,259.24","27,517.85",--,--
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","17,246.31","14,815.09","20,350.92","13,118.77","13,189.64",--,--
Exceptional Items,0.00,0.00,0.00,0.00,0.00,--,--
Profit/Loss Before Tax,"17,246.31","14,815.09","20,350.92","13,118.77","13,189.64",--,--
Tax Expenses-Continued Operations,--,--,--,--,--,--,--
Current Tax,"3,514.25","3,040.65","2,571.68","3,307.11","3,212.65",--,--
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,--,--
Deferred Tax,-10.12,-252.86,9.59,179.20,-982.35,--,--
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,--,--
Total Tax Expenses,"3,504.13","2,787.79","2,581.27","3,486.31","2,230.30",--,--
Profit/Loss After Tax And Before ExtraOrdinary Items,"13,742.18","12,027.30","17,769.65","9,632.46","10,959.34",--,--
Profit/Loss From Continuing Operations,"13,742.18","12,027.30","17,769.65","9,632.46","10,959.34",--,--
Profit/Loss For The Period,"13,742.18","12,027.30","17,769.65","9,632.46","10,959.34",--,--
OTHER ADDITIONAL INFORMATION,--,--,--,--,--,--,--
EARNINGS PER SHARE,--,--,--,--,--,--,--
Basic EPS (Rs.),76.01,67.77,102.91,56.53,67.31,--,--
Diluted EPS (Rs.),75.20,67.20,102.12,56.53,66.48,--,--
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
"STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
DIVIDEND AND DIVIDEND PERCENTAGE,--,--,--,--,--,--,--
Equity Share Dividend,"4,152.65","3,642.68","3,600.63","3,615.04","3,351.80",--,--
Tax On Dividend,0.00,0.00,0.00,349.48,102.69,--,--
Equity Dividend Rate (%),"1,500.00","1,150.00","1,050.00","1,050.00","1,000.00",--,--
