Yearly Results of Housing Development Finance Corporation (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,--,--
Net Sales/Income from operations,"47,957.07","48,149.74","58,738.92","43,348.04","34,807.10",--,--
Other Operating Income,--,--,--,--,378.07,--,--
Total Income From Operations,"47,957.07","48,149.74","58,738.92","43,348.04","35,185.17",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,"1,060.79",914.11,592.92,716.53,425.47,--,--
Depreciation,172.29,158.78,147.74,66.53,49.24,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,"1,932.00","2,948.00","5,913.10",935.00,455.00,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,839.60,725.12,757.30,703.51,483.08,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax","43,952.39","43,403.73","51,327.86","40,926.47","33,772.38",--,--
Other Income,33.13,26.12,24.42,29.97,44.72,--,--
"P/L Before Int., Excpt. Items & Tax","43,985.52","43,429.85","51,352.28","40,956.44","33,817.10",--,--
Interest,"26,739.21","28,614.76","31,001.36","27,837.67","22,235.00",--,--
P/L Before Exceptional Items & Tax,"17,246.31","14,815.09","20,350.92","13,118.77","11,582.10",--,--
Exceptional Items,--,--,--,--,"3,681.59",--,--
P/L Before Tax,"17,246.31","14,815.09","20,350.92","13,118.77","15,263.69",--,--
Tax,"3,504.13","2,787.79","2,581.27","3,486.31","3,100.00",--,--
P/L After Tax from Ordinary Activities,"13,742.18","12,027.30","17,769.65","9,632.46","12,163.69",--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"13,742.18","12,027.30","17,769.65","9,632.46","12,163.69",--,--
Equity Share Capital,362.61,360.79,346.41,344.29,335.18,--,--
Reserves Excluding Revaluation Reserves,"119,581.36","108,114.83","84,802.23","77,011.18","63,941.74",--,--
Equity Dividend Rate (%),"1,500.00","1,150.00","1,050.00","1,050.00","1,000.00",--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,76.01,67.77,102.91,56.53,74.83,--,--
Diluted EPS,75.20,67.20,102.12,56.08,73.73,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,76.01,67.77,102.91,56.53,74.83,--,--
Diluted EPS.,75.20,67.20,102.12,56.08,73.73,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
