Cash Flow of Housing Development Finance Corporation (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
Net Profit/Loss Before Extraordinary Items And Tax,"17,246.31","14,815.09","20,350.92","13,118.77","13,189.64",--,--
Net CashFlow From Operating Activities,"-44,409.77","-28,473.19","-43,816.79","-40,095.72","-55,903.95",--,--
Net Cash Used In Investing Activities,"-14,571.88","-8,499.78","-5,854.23","-9,951.80","-3,586.61",--,--
Net Cash Used From Financing Activities,"58,777.17","34,601.06","52,452.10","49,176.19","56,505.58",--,--
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,--,--
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,--,--
Net Inc/Dec In Cash And Cash Equivalents,-204.48,"-2,371.91","2,781.08",-871.33,"-2,984.98",--,--
Cash And Cash Equivalents Begin of Year,769.97,"3,141.88",360.80,"1,232.13","4,217.12",--,--
Cash And Cash Equivalents End Of Year,565.49,769.97,"3,141.88",360.80,"1,232.14",--,--
