Half Yearly Results of Housing Development Finance Corporation (in Rs. Cr.),Sep '22,Mar '22,Sep '21,Mar '21,Sep '20,--,--
Net Sales/Income from operations,"28,267.52","24,083.65","23,873.42","23,404.10","24,745.64",--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,"28,267.52","24,083.65","23,873.42","23,404.10","24,745.64",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,550.22,461.03,599.76,572.57,341.54,--,--
Depreciation,111.64,95.99,76.30,88.20,70.58,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,987.00,794.00,"1,138.00","1,313.00","1,635.00",--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,516.17,435.16,404.44,375.02,350.10,--,--
P/L Before Other,"26,102.49","22,297.47","21,654.92","21,055.31","22,348.42",--,--
Other Income,17.20,17.02,16.11,19.77,6.35,--,--
P/L Before Int.,"26,119.69","22,314.49","21,671.03","21,075.08","22,354.77",--,--
Interest,"16,115.81","13,643.82","13,095.39","13,398.60","15,216.16",--,--
P/L Before Exceptional Items & Tax,"10,003.88","8,670.67","8,575.64","7,676.48","7,138.61",--,--
Exceptional Items,--,--,--,--,--,--,--
P/L Before Tax,"10,003.88","8,670.67","8,575.64","7,676.48","7,138.61",--,--
Tax,"1,880.82","1,709.66","1,794.47","1,570.82","1,216.97",--,--
P/L After Tax from Ordinary Activities,"8,123.06","6,961.01","6,781.17","6,105.66","5,921.64",--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"8,123.06","6,961.01","6,781.17","6,105.66","5,921.64",--,--
Equity Share Capital,363.47,362.61,361.64,360.79,359.16,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,44.73,38.39,37.56,33.85,33.84,--,--
Diluted EPS,44.51,--,37.16,--,33.78,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,44.73,38.39,37.56,33.85,33.84,--,--
Diluted EPS.,44.51,--,37.16,--,33.78,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
