Nine Months Results of Housing Development Finance Corporation (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,--,--
Net Sales/Income from operations,"43,497.64","35,657.08","36,452.64","46,763.20","30,472.41",--,--
Other Operating Income,--,--,--,--,"1,263.29",--,--
Total Income From Operations,"43,497.64","35,657.08","36,452.64","46,763.20","31,735.70",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,784.98,834.24,632.07,453.32,593.98,--,--
Depreciation,177.95,116.37,122.20,104.59,40.11,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,"1,357.00","1,531.00","2,229.00","4,639.10",537.00,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,785.93,607.87,545.10,586.67,523.64,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax","40,391.78","32,567.60","32,924.27","40,979.52","30,040.97",--,--
Other Income,33.89,24.66,15.69,18.48,42.73,--,--
"P/L Before Int., Excpt. Items & Tax","40,425.67","32,592.26","32,939.96","40,998.00","30,083.70",--,--
Interest,"25,809.99","19,968.44","22,048.81","23,339.52","20,655.82",--,--
P/L Before Exceptional Items & Tax,"14,615.68","12,623.82","10,891.15","17,658.48","9,427.88",--,--
Exceptional Items,--,--,--,--,--,--,--
P/L Before Tax,"14,615.68","12,623.82","10,891.15","17,658.48","9,427.88",--,--
Tax,"2,801.82","2,581.96","2,043.68","2,121.36","2,657.00",--,--
P/L After Tax from Ordinary Activities,"11,813.86","10,041.86","8,847.47","15,537.12","6,770.88",--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"11,813.86","10,041.86","8,847.47","15,537.12","6,770.88",--,--
Equity Share Capital,365.35,362.20,360.04,345.81,343.89,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,64.95,55.58,50.10,90.05,39.85,--,--
Diluted EPS,64.50,54.91,49.95,89.36,39.51,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,64.95,55.58,50.10,90.05,39.85,--,--
Diluted EPS.,64.50,54.91,49.95,89.36,39.51,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company) ,--,--,--,--,--,--,--
