Quarterly Results of Housing Development Finance Corporation (in Rs. Cr.),Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,--,--
Net Sales/Income from operations,"15,230.12","15,027.21","13,240.31","12,299.99","11,783.66",--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,"15,230.12","15,027.21","13,240.31","12,299.99","11,783.66",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,234.76,266.99,283.23,226.55,234.48,--,--
depreciat,66.31,57.88,53.76,55.92,40.07,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,370.00,473.00,514.00,401.00,393.00,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,269.76,264.37,251.80,231.73,203.43,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax","14,289.29","13,964.97","12,137.52","11,384.79","10,912.68",--,--
Other Income,16.69,8.78,8.42,8.47,8.55,--,--
"P/L Before Int., Excpt. Items & Tax","14,305.98","13,973.75","12,145.94","11,393.26","10,921.23",--,--
Interest,"9,694.18","8,559.69","7,556.12","6,770.77","6,873.05",--,--
P/L Before Exceptional Items & Tax,"4,611.80","5,414.06","4,589.82","4,622.49","4,048.18",--,--
Exceptional Items,--,--,--,--,--,--,--
P/L Before Tax,"4,611.80","5,414.06","4,589.82","4,622.49","4,048.18",--,--
Tax,921.00,959.82,921.00,922.17,787.49,--,--
P/L After Tax from Ordinary Activities,"3,690.80","4,454.24","3,668.82","3,700.32","3,260.69",--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"3,690.80","4,454.24","3,668.82","3,700.32","3,260.69",--,--
Equity Share Capital,365.35,363.47,362.89,362.61,362.20,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,20.22,24.51,20.22,20.43,18.02,--,--
Diluted EPS,19.99,24.41,20.10,20.29,17.75,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,20.22,24.51,20.22,20.43,18.02,--,--
Diluted EPS.,19.99,24.41,20.10,20.29,17.75,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
