Profit & Loss account of Reliance Industries (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
INCOME,--,--,--,--,--,--,--
Revenue From Operations [Gross],"466,425.00","278,940.00","366,177.00","401,583.00","315,357.00",--,--
Less: Excise/Sevice Tax/Other Levies,"42,722.00","33,273.00","29,224.00","29,967.00","25,315.00",--,--
Revenue From Operations [Net],"423,703.00","245,667.00","336,953.00","371,616.00","290,042.00",--,--
Total Operating Revenues,"423,703.00","245,667.00","336,953.00","371,616.00","290,042.00",--,--
Other Income,"13,872.00","14,818.00","13,566.00","8,822.00","8,220.00",--,--
Total Revenue,"437,575.00","260,485.00","350,519.00","380,438.00","298,262.00",--,--
EXPENSES,--,--,--,--,--,--,--
Cost Of Materials Consumed,"320,852.00","168,262.00","237,342.00","265,288.00","198,029.00",--,--
Purchase Of Stock-In Trade ,"10,691.00","7,301.00","7,292.00","8,289.00","7,268.00",--,--
Operating And Direct Expenses,"27,155.00","18,375.00","21,424.00","24,839.00",0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade","-7,962.00",610.00,77.00,"-3,294.00","-3,232.00",--,--
Employee Benefit Expenses,"5,426.00","5,024.00","6,067.00","5,834.00","4,740.00",--,--
Finance Costs,"9,123.00","16,211.00","12,105.00","9,751.00","4,656.00",--,--
Depreciation And Amortisation Expenses,"10,276.00","9,199.00","9,728.00","10,558.00","9,580.00",--,--
Other Expenses,"15,951.00","13,565.00","14,306.00","14,252.00","31,496.00",--,--
Total Expenses,"390,789.00","237,577.00","305,958.00","333,071.00","252,537.00",--,--
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","46,786.00","22,908.00","44,561.00","47,367.00","45,725.00",--,--
Exceptional Items,0.00,"4,304.00","-4,245.00",0.00,0.00,--,--
Profit/Loss Before Tax,"46,786.00","27,212.00","40,316.00","47,367.00","45,725.00",--,--
Tax Expenses-Continued Operations,--,--,--,--,--,--,--
Current Tax,787.00,0.00,"7,200.00","9,440.00","8,953.00",--,--
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,--,--
Deferred Tax,"6,915.00","-4,732.00","2,213.00","2,764.00","3,160.00",--,--
Tax For Earlier Years,0.00,0.00,0.00,0.00,0.00,--,--
Total Tax Expenses,"7,702.00","-4,732.00","9,413.00","12,204.00","12,113.00",--,--
Profit/Loss After Tax And Before ExtraOrdinary Items,"39,084.00","31,944.00","30,903.00","35,163.00","33,612.00",--,--
Profit/Loss From Continuing Operations,"39,084.00","31,944.00","30,903.00","35,163.00","33,612.00",--,--
Profit/Loss For The Period,"39,084.00","31,944.00","30,903.00","35,163.00","33,612.00",--,--
OTHER ADDITIONAL INFORMATION,--,--,--,--,--,--,--
EARNINGS PER SHARE,--,--,--,--,--,--,--
Basic EPS (Rs.),59.24,49.66,48.42,55.48,53.08,--,--
Diluted EPS (Rs.),58.49,48.90,48.72,55.47,53.04,--,--
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
"STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Stores And Spares,0.00,0.00,0.00,0.00,0.00,--,--
DIVIDEND AND DIVIDEND PERCENTAGE,--,--,--,--,--,--,--
Equity Share Dividend,"4,297.00","3,921.00","3,852.00","3,554.00","3,255.00",--,--
Tax On Dividend,0.00,0.00,732.00,728.00,661.00,--,--
Equity Dividend Rate (%),80.00,70.00,65.00,65.00,60.00,--,--
