Cash Flow of Reliance Industries (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
Net Profit/Loss Before Extraordinary Items And Tax,"46,786.00","27,212.00","40,316.00","47,367.00","45,725.00",--,--
Net CashFlow From Operating Activities,"67,491.00",-512.00,"77,533.00","29,191.00","62,000.00",--,--
Net Cash Used In Investing Activities,"-45,315.00","74,257.00","-143,625.00","-53,949.00","-59,109.00",--,--
Net Cash Used From Financing Activities,"-6,035.00","-76,657.00","70,767.00","25,795.00","-1,914.00",--,--
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,--,--
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,42.00,0.00,0.00,--,--
Net Inc/Dec In Cash And Cash Equivalents,"16,141.00","-2,912.00","4,717.00","1,037.00",977.00,--,--
Cash And Cash Equivalents Begin of Year,"5,573.00","8,485.00","3,768.00","2,731.00","1,754.00",--,--
Cash And Cash Equivalents End Of Year,"21,714.00","5,573.00","8,485.00","3,768.00","2,731.00",--,--
