Nine Months Results of Reliance Industries (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,--,--
Net Sales/Income from operations,"421,116.00","311,384.00","179,092.00","261,689.00","287,422.00",--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,"421,116.00","311,384.00","179,092.00","261,689.00","287,422.00",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,"309,877.00","222,238.00","111,485.00","186,895.00","206,203.00",--,--
Purchase of Traded Goods,"7,166.00","7,847.00","4,925.00","5,134.00","6,695.00",--,--
Increase/Decrease in Stocks,"-5,566.00","-9,041.00",-487.00,"1,324.00","-1,413.00",--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,"4,254.00","4,010.00","3,759.00","4,561.00","4,429.00",--,--
Depreciation,"7,397.00","7,811.00","6,617.00","7,043.00","8,093.00",--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,"56,356.00","48,598.00","35,962.00","23,598.00","26,955.00",--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax","41,632.00","29,921.00","16,831.00","33,134.00","36,460.00",--,--
Other Income,"8,445.00","10,800.00","12,021.00","10,928.00","6,536.00",--,--
"P/L Before Int., Excpt. Items & Tax","50,077.00","40,721.00","28,852.00","44,062.00","42,996.00",--,--
Interest,"8,881.00","7,139.00","13,210.00","7,944.00","6,960.00",--,--
P/L Before Exceptional Items & Tax,"41,196.00","33,582.00","15,642.00","36,118.00","36,036.00",--,--
Exceptional Items,--,--,"4,304.00",--,--,--,--
P/L Before Tax,"41,196.00","33,582.00","19,946.00","36,118.00","36,036.00",--,--
Tax,"10,812.00","5,592.00","-4,522.00","7,795.00","9,429.00",--,--
P/L After Tax from Ordinary Activities,"30,384.00","27,990.00","24,468.00","28,323.00","26,607.00",--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"30,384.00","27,990.00","24,468.00","28,323.00","26,607.00",--,--
Equity Share Capital,"6,766.00","6,765.00","6,445.00","6,339.00","6,339.00",--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,44.91,42.78,37.93,44.68,41.98,--,--
Diluted EPS,44.91,42.10,37.39,44.68,41.97,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,44.91,42.78,37.93,44.68,41.98,--,--
Diluted EPS.,44.91,42.10,37.39,44.68,41.97,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company) ,--,--,--,--,--,--,--
