Key Financial Ratios of Reliance Industries (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Per Share Ratios,--,--,--,--,--,--,--
Basic EPS (Rs.),59.24,49.66,48.42,55.48,53.08,--,--
Diluted EPS (Rs.),58.49,48.90,48.72,55.47,53.04,--,--
Cash EPS (Rs.),72.96,63.84,64.10,72.13,68.18,--,--
Book Value [ExclRevalReserve]/Share (Rs.),697.01,736.20,617.15,639.41,496.66,--,--
Book Value [InclRevalReserve]/Share (Rs.),697.01,736.20,617.15,639.41,496.66,--,--
Dividend / Share(Rs.),8.00,7.00,6.50,6.50,6.00,--,--
Revenue from Operations/Share (Rs.),626.32,381.17,531.56,586.24,457.84,--,--
PBDIT/Share (Rs.),97.83,74.97,104.74,106.76,94.65,--,--
PBIT/Share (Rs.),82.64,60.70,89.39,90.11,79.53,--,--
PBT/Share (Rs.),69.16,42.22,63.60,74.72,72.18,--,--
Net Profit/Share (Rs.),57.77,49.56,48.75,55.47,53.06,--,--
Profitability Ratios,--,--,--,--,--,--,--
PBDIT Margin (%),15.62,19.66,19.70,18.21,20.67,--,--
PBIT Margin (%),13.19,15.92,16.81,15.37,17.37,--,--
PBT Margin (%),11.04,11.07,11.96,12.74,15.76,--,--
Net Profit Margin (%),9.22,13.00,9.17,9.46,11.58,--,--
Return on Networth / Equity (%),8.28,6.73,7.89,8.67,10.68,--,--
Return on Capital Employed (%),8.24,5.82,8.84,9.95,11.80,--,--
Return on Assets (%),4.44,3.65,3.18,4.53,5.44,--,--
Total Debt/Equity (X),0.41,0.41,0.65,0.39,0.31,--,--
Asset Turnover Ratio (%),0.48,28.11,34.67,47.90,46.96,--,--
Liquidity Ratios,--,--,--,--,--,--,--
Current Ratio (X),1.11,1.04,0.50,0.76,0.65,--,--
Quick Ratio (X),0.88,0.86,0.39,0.54,0.44,--,--
Inventory Turnover Ratio (X),7.70,6.56,8.68,8.42,7.33,--,--
Dividend Payout Ratio (NP) (%),10.99,12.27,12.46,10.10,9.68,--,--
Dividend Payout Ratio (CP) (%),8.70,9.53,9.48,7.77,7.53,--,--
Earnings Retention Ratio (%),89.01,87.73,87.54,89.90,90.32,--,--
Cash Earnings Retention Ratio (%),91.30,90.47,90.52,92.23,92.47,--,--
Valuation Ratios,--,--,--,--,--,--,--
Enterprise Value (Cr.),"1,954,716.18","1,479,239.40","950,998.06","1,017,464.40","653,357.80",--,--
EV/Net Operating Revenue (X),4.61,6.02,2.82,2.74,2.25,--,--
EV/EBITDA (X),29.53,30.61,14.32,15.03,10.90,--,--
MarketCap/Net Operating Revenue (X),4.21,5.26,2.09,2.33,1.93,--,--
Retention Ratios (%),89.00,87.72,87.53,89.89,90.31,--,--
Price/BV (X),3.78,2.72,1.80,2.13,1.78,--,--
Price/Net Operating Revenue,4.21,5.26,2.09,2.33,1.93,--,--
Earnings Yield,0.02,0.02,0.04,0.04,0.06,--,--
