,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Cost Of Materials Consumed,"320,852.00","168,262.00","237,342.00","265,288.00","198,029.00",--,--
Purchase Of Stock-In Trade ,"10,691.00","7,301.00","7,292.00","8,289.00","7,268.00",--,--
Operating And Direct Expenses,"27,155.00","18,375.00","21,424.00","24,839.00",0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade","-7,962.00",610.00,77.00,"-3,294.00","-3,232.00",--,--
Employee Benefit Expenses,"5,426.00","5,024.00","6,067.00","5,834.00","4,740.00",--,--
Finance Costs,"9,123.00","16,211.00","12,105.00","9,751.00","4,656.00",--,--
Depreciation And Amortisation Expenses,"10,276.00","9,199.00","9,728.00","10,558.00","9,580.00",--,--
Other Expenses,"15,951.00","13,565.00","14,306.00","14,252.00","31,496.00",--,--
Total Tax Expenses,"7,702.00","-4,732.00","9,413.00","12,204.00","12,113.00",--,--
Exceptional Items,0.00,"4,304.00","-4,245.00",0.00,0.00,--,--
