Profit & Loss account of SJVN (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
INCOME,--,--,--,--,--,--,--
Revenue From Operations [Gross],"2,411.32","2,453.51","2,431.01","2,632.06","2,192.82",--,--
Less: Excise/Sevice Tax/Other Levies,0.00,0.00,0.00,0.00,0.00,--,--
Revenue From Operations [Net],"2,411.32","2,453.51","2,431.01","2,632.06","2,192.82",--,--
Total Operating Revenues,"2,421.96","2,490.83","2,707.61","2,655.77","2,229.97",--,--
Other Income,203.58,722.24,387.63,253.22,357.10,--,--
Total Revenue,"2,625.54","3,213.07","3,095.24","2,908.99","2,587.07",--,--
EXPENSES,--,--,--,--,--,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,289.41,320.55,307.68,315.81,265.22,--,--
Finance Costs,161.34,-2.85,268.07,235.33,83.82,--,--
Depreciation And Amortisation Expenses,404.29,393.27,384.09,390.26,364.51,--,--
Other Expenses,403.80,368.82,362.89,305.28,276.25,--,--
Total Expenses,"1,258.84","1,079.79","1,322.73","1,246.68",989.80,--,--
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","1,366.70","2,133.28","1,772.51","1,662.31","1,597.27",--,--
Exceptional Items,-67.08,35.39,186.85,130.23,51.10,--,--
Profit/Loss Before Tax,"1,299.62","2,168.67","1,959.36","1,792.54","1,648.37",--,--
Tax Expenses-Continued Operations,--,--,--,--,--,--,--
Current Tax,229.09,373.72,340.53,386.00,351.43,--,--
Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,0.00,--,--
Deferred Tax,93.01,161.91,-110.52,42.25,72.06,--,--
Tax For Earlier Years,0.00,0.00,171.92,0.00,0.00,--,--
Total Tax Expenses,322.10,535.63,401.93,428.25,423.49,--,--
Profit/Loss After Tax And Before ExtraOrdinary Items,977.52,"1,633.04","1,557.43","1,364.29","1,224.88",--,--
Profit/Loss From Continuing Operations,977.52,"1,633.04","1,557.43","1,364.29","1,224.88",--,--
Profit/Loss For The Period,977.52,"1,633.04","1,557.43","1,364.29","1,224.88",--,--
OTHER ADDITIONAL INFORMATION,--,--,--,--,--,--,--
EARNINGS PER SHARE,--,--,--,--,--,--,--
Basic EPS (Rs.),2.49,4.16,3.96,3.47,2.97,--,--
Diluted EPS (Rs.),2.49,4.16,3.96,3.47,2.97,--,--
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
Indigenous Raw Materials,0.00,0.00,0.00,0.00,0.00,--,--
"STORES, SPARES AND LOOSE TOOLS",--,--,--,--,--,--,--
Imported Stores And Spares,0.47,13.83,1.37,0.99,1.01,--,--
Indigenous Stores And Spares,16.32,4.83,11.47,15.54,14.97,--,--
DIVIDEND AND DIVIDEND PERCENTAGE,--,--,--,--,--,--,--
Equity Share Dividend,609.12,707.36,668.07,589.47,785.96,--,--
Tax On Dividend,0.00,0.00,137.32,121.17,160.00,--,--
Equity Dividend Rate (%),17.00,22.00,22.00,22.00,21.00,--,--
