Yearly Results of SJVN (in Rs. Cr.),Mar '22,Mar '21,Mar '20,Mar '19,Mar '18,--,--
Net Sales/Income from operations,"2,421.96","2,490.83","2,701.52","2,655.77","2,229.97",--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,"2,421.96","2,490.83","2,701.52","2,655.77","2,229.97",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,289.41,320.55,307.68,315.81,265.22,--,--
Depreciation,404.29,393.27,384.09,390.26,364.51,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,403.80,368.82,362.89,305.28,276.25,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax","1,324.46","1,408.19","1,646.86","1,644.42","1,323.99",--,--
Other Income,203.58,722.24,387.63,253.22,357.10,--,--
"P/L Before Int., Excpt. Items & Tax","1,528.04","2,130.43","2,034.49","1,897.64","1,681.09",--,--
Interest,161.34,-2.85,268.07,235.33,83.82,--,--
P/L Before Exceptional Items & Tax,"1,366.70","2,133.28","1,766.42","1,662.31","1,597.27",--,--
Exceptional Items,-67.08,-22.06,192.94,130.23,51.10,--,--
P/L Before Tax,"1,299.62","2,111.22","1,959.36","1,792.54","1,648.37",--,--
Tax,322.10,478.18,307.47,428.25,423.49,--,--
P/L After Tax from Ordinary Activities,977.52,"1,633.04","1,651.89","1,364.29","1,224.88",--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,977.52,"1,633.04","1,651.89","1,364.29","1,224.88",--,--
Equity Share Capital,"3,929.80","3,929.80","3,929.80","3,929.80","3,929.80",--,--
Reserves Excluding Revaluation Reserves,"9,198.81","8,832.04","8,104.51","7,308.98","6,764.91",--,--
Equity Dividend Rate (%),17.00,22.00,22.00,21.50,21.00,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,2.49,4.16,3.80,3.10,2.87,--,--
Diluted EPS,2.49,4.16,3.80,3.10,2.87,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,2.49,4.16,4.20,3.47,2.87,--,--
Diluted EPS.,2.49,4.16,4.20,3.47,2.87,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
