Cash Flow of SJVN (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
--,12 mths,12 mths,12 mths,12 mths,12 mths,--,--
Net Profit/Loss Before Extraordinary Items And Tax,"1,343.44","2,168.67","1,959.36","1,792.54","1,648.37",--,--
Net CashFlow From Operating Activities,"1,650.43","2,010.32","1,998.74","1,039.85","1,564.37",--,--
Net Cash Used In Investing Activities,"-4,259.10","-1,227.76",-440.09,-58.16,94.89,--,--
Net Cash Used From Financing Activities,"2,329.21","-1,042.37","-1,345.43","-1,107.02","-2,272.29",--,--
Foreign Exchange Gains / Losses,0.00,0.00,0.00,0.00,0.00,--,--
Adjustments On Amalgamation Merger Demerger Others,0.00,0.00,0.00,0.00,0.00,--,--
Net Inc/Dec In Cash And Cash Equivalents,-279.46,-259.81,213.22,-125.33,-613.03,--,--
Cash And Cash Equivalents Begin of Year,-11.58,248.23,35.01,160.34,773.37,--,--
Cash And Cash Equivalents End Of Year,-291.04,-11.58,248.23,35.01,160.34,--,--
