Half Yearly Results of SJVN (in Rs. Cr.),Sep '22,Mar '22,Sep '21,Mar '21,Sep '20,--,--
Net Sales/Income from operations,"1,886.99",874.52,"1,547.44",960.69,"1,530.14",--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,"1,886.99",874.52,"1,547.44",960.69,"1,530.14",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,155.39,140.67,148.74,163.17,157.38,--,--
Depreciation,205.73,205.51,198.78,201.73,191.54,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,184.77,208.65,195.15,229.95,138.87,--,--
P/L Before Other,"1,341.10",319.69,"1,004.77",365.84,"1,042.35",--,--
Other Income,104.77,121.65,81.93,652.00,70.24,--,--
P/L Before Int.,"1,445.87",441.34,"1,086.70","1,017.84","1,112.59",--,--
Interest,260.98,120.14,41.20,14.51,-17.36,--,--
P/L Before Exceptional Items & Tax,"1,184.89",321.20,"1,045.50","1,003.33","1,129.95",--,--
Exceptional Items,86.09,-1.80,-65.28,106.94,-98.76,--,--
P/L Before Tax,"1,270.98",319.40,980.22,"1,110.27","1,031.19",--,--
Tax,212.12,87.49,234.61,300.96,207.46,--,--
P/L After Tax from Ordinary Activities,"1,058.86",231.91,745.61,809.31,823.73,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"1,058.86",231.91,745.61,809.31,823.73,--,--
Equity Share Capital,"3,929.80","3,929.80","3,929.80","3,929.80","3,929.80",--,--
Reserves Excluding Revaluation Reserves,--,--,"9,419.41",--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,2.70,0.59,1.90,2.06,2.10,--,--
Diluted EPS,2.70,--,1.90,--,2.10,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,2.70,0.59,1.90,2.06,2.10,--,--
Diluted EPS.,2.70,--,1.90,--,2.10,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
