Nine Months Results of SJVN (in Rs. Cr.),Dec '22,Dec '21,Dec '20,Dec '19,Dec '18,--,--
Net Sales/Income from operations,"2,438.66","2,098.36","2,025.18","2,161.76","1,850.61",--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,"2,438.66","2,098.36","2,025.18","2,161.76","1,850.61",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,--,--,--,--,--,--,--
Purchase of Traded Goods,--,--,--,--,--,--,--
Increase/Decrease in Stocks,--,--,--,--,--,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,225.13,226.77,237.13,219.79,218.60,--,--
Depreciation,308.89,301.09,296.76,277.84,289.30,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,284.96,282.62,226.49,255.69,222.38,--,--
"P/L Before Other Inc. , Int., Excpt. Items & Tax","1,619.68","1,287.88","1,264.80","1,408.44","1,120.33",--,--
Other Income,276.82,138.88,106.76,228.78,182.24,--,--
"P/L Before Int., Excpt. Items & Tax","1,896.50","1,426.76","1,371.56","1,637.22","1,302.57",--,--
Interest,377.91,78.93,-32.75,131.47,234.79,--,--
P/L Before Exceptional Items & Tax,"1,518.59","1,347.83","1,404.31","1,505.75","1,067.78",--,--
Exceptional Items,102.90,-70.14,-120.33,62.24,125.28,--,--
P/L Before Tax,"1,621.49","1,277.69","1,283.98","1,567.99","1,193.06",--,--
Tax,271.65,299.41,264.74,315.54,287.69,--,--
P/L After Tax from Ordinary Activities,"1,349.84",978.28,"1,019.24","1,252.45",905.37,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,--,--,--,--,--,--
Net Profit/(Loss) For the Period,"1,349.84",978.28,"1,019.24","1,252.45",905.37,--,--
Equity Share Capital,"3,929.80","3,929.80","3,929.80","3,929.80","3,929.80",--,--
Reserves Excluding Revaluation Reserves,"10,331.29","9,651.56",--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,3.44,2.49,2.60,3.06,1.95,--,--
Diluted EPS,3.44,2.49,2.60,3.06,1.95,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,3.44,2.49,2.60,3.19,2.30,--,--
Diluted EPS.,3.44,2.49,2.60,3.19,2.30,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group) ,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company) ,--,--,--,--,--,--,--
