Key Financial Ratios of SJVN (in Rs. Cr.),Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Per Share Ratios,--,--,--,--,--,--,--
Basic EPS (Rs.),2.49,4.16,3.96,3.47,2.97,--,--
Diluted EPS (Rs.),2.49,4.16,3.96,3.47,2.97,--,--
Cash EPS (Rs.),3.52,5.16,4.94,4.46,4.04,--,--
Book Value [ExclRevalReserve]/Share (Rs.),33.41,32.47,30.62,28.60,27.21,--,--
Book Value [InclRevalReserve]/Share (Rs.),33.41,32.47,30.62,28.60,27.21,--,--
Dividend / Share(Rs.),1.70,2.20,2.20,2.15,2.10,--,--
Revenue from Operations/Share (Rs.),6.16,6.34,6.89,6.76,5.67,--,--
PBDIT/Share (Rs.),4.92,6.42,6.17,5.82,5.21,--,--
PBIT/Share (Rs.),3.89,5.42,5.19,4.83,4.28,--,--
PBT/Share (Rs.),3.31,5.52,4.99,4.56,4.19,--,--
Net Profit/Share (Rs.),2.49,4.16,3.96,3.47,3.12,--,--
Profitability Ratios,--,--,--,--,--,--,--
PBDIT Margin (%),79.78,101.31,89.55,86.14,91.73,--,--
PBIT Margin (%),63.09,85.53,75.36,71.45,75.38,--,--
PBT Margin (%),53.65,87.06,72.36,67.49,73.91,--,--
Net Profit Margin (%),40.36,65.56,57.52,51.37,54.92,--,--
Return on Networth / Equity (%),7.44,12.79,12.94,12.13,11.45,--,--
Return on Capital Employed (%),8.14,13.76,13.70,13.49,12.39,--,--
Return on Assets (%),4.70,9.68,9.87,9.14,8.52,--,--
Total Debt/Equity (X),0.42,0.15,0.16,0.17,0.19,--,--
Asset Turnover Ratio (%),0.13,14.77,17.16,17.79,15.52,--,--
Liquidity Ratios,--,--,--,--,--,--,--
Current Ratio (X),2.46,2.37,4.71,5.50,5.76,--,--
Quick Ratio (X),2.43,2.33,4.65,5.44,5.70,--,--
Inventory Turnover Ratio (X),0.00,44.36,54.71,59.15,44.16,--,--
Dividend Payout Ratio (NP) (%),62.31,43.31,42.89,43.20,64.16,--,--
Dividend Payout Ratio (CP) (%),44.08,34.90,34.40,33.59,49.45,--,--
Earnings Retention Ratio (%),37.69,56.69,57.11,56.80,35.84,--,--
Cash Earnings Retention Ratio (%),55.92,65.10,65.60,66.41,50.55,--,--
Valuation Ratios,--,--,--,--,--,--,--
Enterprise Value (Cr.),"13,485.20","11,202.40","7,895.26","8,544.50","11,528.66",--,--
EV/Net Operating Revenue (X),5.57,4.50,2.92,3.22,5.17,--,--
EV/EBITDA (X),6.98,4.44,3.26,3.73,5.64,--,--
MarketCap/Net Operating Revenue (X),4.45,4.11,3.00,3.58,5.88,--,--
Retention Ratios (%),37.68,56.68,57.10,56.79,35.83,--,--
Price/BV (X),0.82,0.80,0.68,0.85,1.23,--,--
Price/Net Operating Revenue,4.45,4.11,3.00,3.58,5.88,--,--
Earnings Yield,0.09,0.16,0.19,0.14,0.09,--,--
