,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,0.00,0.00,0.00,0.00,--,--
Operating And Direct Expenses,0.00,0.00,0.00,0.00,0.00,--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,0.00,0.00,0.00,0.00,--,--
Employee Benefit Expenses,289.41,320.55,307.68,315.81,265.22,--,--
Finance Costs,161.34,-2.85,268.07,235.33,83.82,--,--
Depreciation And Amortisation Expenses,404.29,393.27,384.09,390.26,364.51,--,--
Other Expenses,403.80,368.82,362.89,305.28,276.25,--,--
Total Tax Expenses,322.10,535.63,401.93,428.25,423.49,--,--
Exceptional Items,-67.08,35.39,186.85,130.23,51.10,--,--
