Half Yearly Results of Apollo Hospitals Enterprises (in Rs. Cr.),Sep '22,Mar '22,Sep '21,Mar '21,Sep '20,--,--
Net Sales/Income from operations,"3,245.27","4,266.90","5,817.91","4,777.08","4,375.96",--,--
Other Operating Income,--,--,--,--,--,--,--
Total Income From Operations,"3,245.27","4,266.90","5,817.91","4,777.08","4,375.96",--,--
EXPENDITURE,--,--,--,--,--,--,--
Consumption of Raw Materials,958.85,875.16,"1,054.17",733.13,596.74,--,--
Purchase of Traded Goods,--,"1,203.05","2,461.94","2,036.27","2,118.94",--,--
Increase/Decrease in Stocks,--,-16.23,-46.20,-8.77,-118.86,--,--
Power & Fuel,--,--,--,--,--,--,--
Employees Cost,581.45,577.33,638.06,561.95,713.16,--,--
Depreciation,181.14,202.11,189.73,193.18,242.77,--,--
Excise Duty,--,--,--,--,--,--,--
Admin. And Selling Expenses,--,--,--,--,--,--,--
R & D Expenses,--,--,--,--,--,--,--
Provisions And Contingencies,--,--,--,--,--,--,--
Exp. Capitalised,--,--,--,--,--,--,--
Other Expenses,863.56,871.13,880.49,796.75,776.32,--,--
P/L Before Other,660.27,554.35,639.72,464.57,46.89,--,--
Other Income,53.43,30.48,17.03,11.67,6.48,--,--
P/L Before Int.,713.70,584.83,656.75,476.24,53.37,--,--
Interest,117.99,119.67,128.15,144.04,199.76,--,--
P/L Before Exceptional Items & Tax,595.71,465.16,528.60,332.20,-146.39,--,--
Exceptional Items,--,--,-6.74,-8.00,-1.09,--,--
P/L Before Tax,595.71,465.16,521.86,324.20,-147.48,--,--
Tax,-16.62,141.00,185.93,102.46,-30.89,--,--
P/L After Tax from Ordinary Activities,612.33,324.16,335.93,221.74,-116.59,--,--
Prior Year Adjustments,--,--,--,--,--,--,--
Extra Ordinary Items,--,4.92,--,--,--,--,--
Net Profit/(Loss) For the Period,612.33,329.08,335.93,221.74,-116.59,--,--
Equity Share Capital,71.89,71.89,71.89,71.89,69.56,--,--
Reserves Excluding Revaluation Reserves,--,--,--,--,--,--,--
Equity Dividend Rate (%),--,--,--,--,--,--,--
EPS Before Extra Ordinary,--,--,--,--,--,--,--
Basic EPS,42.59,22.89,23.36,15.42,-8.38,--,--
Diluted EPS,42.59,--,23.36,--,-8.38,--,--
EPS After Extra Ordinary,--,--,--,--,--,--,--
Basic EPS.,42.59,22.89,23.36,15.42,-8.38,--,--
Diluted EPS.,42.59,--,23.36,--,-8.38,--,--
Public Share Holding,--,--,--,--,--,--,--
No Of Shares (Crores),--,--,--,--,--,--,--
Share Holding (%),--,--,--,--,--,--,--
Promoters and Promoter Group Shareholding,--,--,--,--,--,--,--
a) Pledged/Encumbered,--,--,--,--,--,--,--
- Number of shares (Crores),--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group),--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company),--,--,--,--,--,--,--
b) Non-encumbered,--,--,--,--,--,--,--
- Number of shares (Crores).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total sh. of prom. and promoter group).,--,--,--,--,--,--,--
- Per. of shares (as a % of the total Share Cap. of the company).,--,--,--,--,--,--,--
