,Mar 22,Mar 21,Mar 20,Mar 19,Mar 18,--,--
Cost Of Materials Consumed,0.00,0.00,0.00,0.00,0.00,--,--
Purchase Of Stock-In Trade ,0.00,"4,155.20","3,754.20","3,049.30","2,614.22",--,--
Operating And Direct Expenses,"1,929.30","1,329.90","1,532.10","1,391.68","1,268.00",--,--
"Changes In Inventories Of FG,WIP And Stock-In Trade",0.00,-127.60,-104.30,-72.00,-80.93,--,--
Employee Benefit Expenses,"1,150.50","1,275.10","1,519.20","1,295.09","1,118.81",--,--
Finance Costs,244.00,343.80,425.90,268.02,240.17,--,--
Depreciation And Amortisation Expenses,363.40,435.90,482.30,299.90,272.00,--,--
Other Expenses,"1,599.10","1,573.10","1,677.90","1,654.45","1,433.18",--,--
Total Tax Expenses,279.80,71.60,212.10,159.71,96.94,--,--
Exceptional Items,-6.70,-9.10,164.40,0.00,0.00,--,--
