"Profit & Loss account of ABB India (in Rs. Cr.)","Dec 22","Dec 21","Dec 20","Dec 19","Dec 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"INCOME","","","","",""," ",
"Revenue From Operations [Gross]","8,567.53","6,864.02","5,757.17","7,229.00","6,613.36"," ",
"Less: Excise/Sevice Tax/Other Levies","0.00","0.00","0.00","0.00","0.00"," ",
"Revenue From Operations [Net]","8,567.53","6,864.02","5,757.17","7,229.00","6,613.36"," ",
"Total Operating Revenues","8,567.53","6,934.00","5,820.95","7,315.06","6,690.12"," ",
"Other Income","179.47","159.62","106.87","94.31","84.01"," ",
"Total Revenue","8,747.00","7,093.62","5,927.82","7,409.37","6,774.13"," ",
"EXPENSES","","","","",""," ",
"Cost Of Materials Consumed","4,704.18","3,757.40","3,227.94","4,194.97","3,755.62"," ",
"Purchase Of Stock-In Trade ","698.53","691.31","456.66","471.02","582.11"," ",
"Operating And Direct Expenses","0.00","210.96","164.56","221.88","226.30"," ",
"Changes In Inventories Of FG,WIP And Stock-In Trade","-101.53","-33.36","21.28","-26.73","-50.38"," ",
"Employee Benefit Expenses","635.29","588.24","568.01","579.62","529.50"," ",
"Finance Costs","13.11","10.70","16.87","21.36","53.90"," ",
"Depreciation And Amortisation Expenses","104.70","102.70","120.36","90.40","92.76"," ",
"Other Expenses","1,669.19","1,162.74","1,106.56","1,343.15","1,189.18"," ",
"Total Expenses","7,723.47","6,490.69","5,682.24","6,895.67","6,378.99"," ",
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","1,023.53","602.93","245.58","513.70","395.14"," ",
"Exceptional Items","339.26","121.34","58.79","-69.70","0.00"," ",
"Profit/Loss Before Tax","1,362.79","724.27","304.37","444.00","395.14"," ",
"Tax Expenses-Continued Operations","","","","",""," ",
"Current Tax","337.18","176.85","74.34","130.32","139.65"," ",
"Less: MAT Credit Entitlement","0.00","0.00","0.00","0.00","0.00"," ",
"Deferred Tax","0.00","14.93","2.22","11.45","1.30"," ",
"Tax For Earlier Years","0.00","0.00","-2.63","0.00","0.00"," ",
"Total Tax Expenses","337.18","191.78","73.93","141.77","140.95"," ",
"Profit/Loss After Tax And Before ExtraOrdinary Items","1,025.61","532.49","230.44","302.23","254.19"," ",
"Profit/Loss From Continuing Operations","1,016.23","532.49","230.44","302.23","254.19"," ",
"Profit/Loss For The Period","1,016.23","519.71","219.22","303.40","510.89"," ",
"OTHER ADDITIONAL INFORMATION","","","","",""," ",
"EARNINGS PER SHARE","","","","",""," ",
"Basic EPS (Rs.)","47.96","24.53","10.34","14.32","24.11"," ",
"Diluted EPS (Rs.)","47.96","24.53","10.34","14.32","24.11"," ",
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"DIVIDEND AND DIVIDEND PERCENTAGE","","","","",""," ",
"Equity Share Dividend","0.00","105.95","101.72","101.72","93.24"," ",
"Tax On Dividend","0.00","0.00","0.00","20.91","19.17"," ",
"Equity Dividend Rate (%)","275.00","260.00","250.00","240.00","240.00"," ",
