"Yearly Results of ABB India (in Rs. Cr.)","Dec '22","Dec '21","Dec '20","Dec '19","Dec '18"," ",
"Net Sales/Income from operations","8,567.53","6,864.02","5,757.17","7,229.00","6,613.36"," ",
"Other Operating Income","--","69.98","63.78","86.06","76.76"," ",
"Total Income From Operations","8,567.53","6,934.00","5,820.95","7,315.06","6,690.12"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","4,704.18","3,757.40","3,241.94","4,194.97","3,755.62"," ",
"Purchase of Traded Goods","698.53","691.31","456.66","471.02","582.11"," ",
"Increase/Decrease in Stocks","-101.53","-33.36","22.28","-26.73","-50.38"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","635.29","588.24","568.01","579.62","529.50"," ",
"Depreciation","104.70","102.70","120.36","90.40","92.76"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","1,669.19","1,373.70","1,256.12","1,565.03","1,415.48"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","857.17","454.01","155.58","440.75","365.03"," ",
"Other Income","179.47","159.62","106.87","94.31","84.01"," ",
"P/L Before Int., Excpt. Items & Tax","1,036.64","613.63","262.45","535.06","449.04"," ",
"Interest","13.11","10.70","16.87","21.36","53.90"," ",
"P/L Before Exceptional Items & Tax","1,023.53","602.93","245.58","513.70","395.14"," ",
"Exceptional Items","339.26","121.34","58.79","-69.70","--"," ",
"P/L Before Tax","1,362.79","724.27","304.37","444.00","395.14"," ",
"Tax","337.18","191.78","73.93","141.77","140.95"," ",
"P/L After Tax from Ordinary Activities","1,025.61","532.49","230.44","302.23","254.19"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","-9.38","-12.78","-11.22","1.17","256.70"," ",
"Net Profit/(Loss) For the Period","1,016.23","519.71","219.22","303.40","510.89"," ",
"Equity Share Capital","42.38","42.38","42.38","42.38","42.38"," ",
"Reserves Excluding Revaluation Reserves","4,897.03","4,002.74","3,563.93","3,477.73","3,964.94"," ",
"Equity Dividend Rate (%)","275.00","260.00","250.00","240.00","240.00"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","47.96","24.53","10.34","14.32","24.11"," ",
"Diluted EPS","47.96","24.53","10.34","14.32","24.11"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","47.96","24.53","10.34","14.32","24.11"," ",
"Diluted EPS.","47.96","24.53","10.34","14.32","24.11"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
