"Cash Flow of ABB India (in Rs. Cr.)","Dec 22","Dec 21","Dec 20","Dec 19","Dec 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"Net Profit/Loss Before Extraordinary Items And Tax","0.00","707.19","304.37","444.00","794.24"," ",
"Net CashFlow From Operating Activities","0.00","649.24","318.22","666.87","625.46"," ",
"Net Cash Used In Investing Activities","0.00","-2,007.87","442.44","-390.68","143.71"," ",
"Net Cash Used From Financing Activities","0.00","-126.83","-152.25","-146.72","-793.69"," ",
"Foreign Exchange Gains / Losses","0.00","-0.35","0.63","-6.96","7.73"," ",
"Adjustments On Amalgamation Merger Demerger Others","0.00","0.00","0.00","0.00","0.00"," ",
"Net Inc/Dec In Cash And Cash Equivalents","0.00","-1,485.81","609.04","122.51","-16.79"," ",
"Cash And Cash Equivalents Begin of Year","0.00","2,203.95","1,594.91","1,472.40","1,489.19"," ",
"Cash And Cash Equivalents End Of Year","0.00","718.14","2,203.95","1,594.91","1,472.40"," ",
