"Half Yearly Results of ABB India (in Rs. Cr.)","Dec '22","Jun '22","Dec '21","Jun '21","Dec '20"," ",
"Net Sales/Income from operations","4,577.29","3,990.24","3,832.91","3,054.11","3,282.06"," ",
"Other Operating Income","-30.64","30.64","46.98","--","30.87"," ",
"Total Income From Operations","4,546.65","4,020.88","3,879.89","3,054.11","3,312.93"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","2,503.15","2,201.03","2,081.80","1,675.60","1,830.19"," ",
"Purchase of Traded Goods","345.26","353.27","361.23","330.08","264.60"," ",
"Increase/Decrease in Stocks","-43.03","-58.50","22.80","-56.16","72.98"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","314.61","320.68","295.39","292.85","284.47"," ",
"Depreciation","53.69","51.01","49.04","53.66","54.39"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","851.43","817.76","764.54","584.74","636.69"," ",
"P/L Before Other","521.54","335.63","305.09","173.34","169.61"," ",
"Other Income","116.89","62.58","84.73","50.47","34.47"," ",
"P/L Before Int.","638.43","398.21","389.82","223.81","204.08"," ",
"Interest","8.80","4.31","5.92","4.78","9.73"," ",
"P/L Before Exceptional Items & Tax","629.63","393.90","383.90","219.03","194.35"," ",
"Exceptional Items","45.91","293.35","46.81","74.53","--"," ",
"P/L Before Tax","675.54","687.25","430.71","293.56","194.35"," ",
"Tax","167.13","170.05","117.16","74.62","46.66"," ",
"P/L After Tax from Ordinary Activities","508.41","517.20","313.55","218.94","147.69"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","-5.53","-3.85","-5.43","-7.35","-9.39"," ",
"Net Profit/(Loss) For the Period","502.88","513.35","308.12","211.59","138.30"," ",
"Equity Share Capital","42.38","42.38","42.38","42.38","42.38"," ",
"Reserves Excluding Revaluation Reserves","4,897.03","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","23.73","24.23","14.54","9.98","6.53"," ",
"Diluted EPS","--","24.23","--","9.98","--"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","23.73","24.23","14.54","9.98","6.53"," ",
"Diluted EPS.","--","24.23","--","9.98","--"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
