"Nine Months Results of ABB India (in Rs. Cr.)","Sep '22","Sep '21","Sep '20","Sep '19","Sep '18"," ",
"Net Sales/Income from operations","6,090.51","4,794.09","4,075.22","5,260.64","7,665.35"," ",
"Other Operating Income","50.11","38.41","44.97","60.98","88.22"," ",
"Total Income From Operations","6,140.62","4,832.50","4,120.19","5,321.62","7,753.57"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","3,411.43","2,649.16","2,284.60","2,887.29","4,446.43"," ",
"Purchase of Traded Goods","515.94","493.88","324.17","539.15","411.68"," ",
"Increase/Decrease in Stocks","-114.50","-89.78","-4.64","-56.93","-135.52"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","476.77","436.90","418.74","433.10","654.12"," ",
"Depreciation","77.88","79.97","76.71","67.98","108.28"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","1,253.39","946.41","937.98","1,126.26","1,798.01"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","519.71","315.96","82.63","324.77","470.57"," ",
"Other Income","109.46","75.28","92.50","55.90","78.95"," ",
"P/L Before Int., Excpt. Items & Tax","629.17","391.24","175.13","380.67","549.52"," ",
"Interest","5.87","6.81","9.94","16.63","66.45"," ",
"P/L Before Exceptional Items & Tax","623.30","384.43","165.19","364.04","483.07"," ",
"Exceptional Items","339.26","74.53","58.79","--","--"," ",
"P/L Before Tax","962.56","458.96","223.98","364.04","483.07"," ",
"Tax","242.86","120.05","55.74","126.47","170.09"," ",
"P/L After Tax from Ordinary Activities","719.70","338.91","168.24","237.57","312.98"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","-8.79","-7.40","-6.58","144.30","--"," ",
"Net Profit/(Loss) For the Period","710.91","331.51","161.66","381.87","312.98"," ",
"Equity Share Capital","42.38","42.38","42.38","42.38","42.38"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","33.55","15.64","7.94","18.02","14.77"," ",
"Diluted EPS","33.55","15.64","7.94","18.02","14.77"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","33.55","15.64","7.94","18.02","14.77"," ",
"Diluted EPS.","33.55","15.64","7.94","18.02","14.77"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company) ","--","--","--","--","--"," ",
