"Quarterly Results of ABB India (in Rs. Cr.)","Dec '22","Sep '22","Jun '22","Mar '22","Dec '21"," ",
"Net Sales/Income from operations","2,426.91","2,100.27","2,036.31","1,953.93","2,069.93"," ",
"Other Operating Income","--","19.47","16.20","14.44","31.57"," ",
"Total Income From Operations","2,426.91","2,119.74","2,052.51","1,968.37","2,101.50"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","1,292.75","1,210.40","1,110.72","1,090.31","1,108.24"," ",
"Purchase of Traded Goods","182.59","162.67","173.52","179.75","197.43"," ",
"Increase/Decrease in Stocks","12.97","-56.00","-31.33","-27.17","56.42"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","158.52","156.09","145.68","175.00","151.34"," ",
"depreciat","26.82","26.87","25.34","25.67","22.73"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","415.80","435.63","455.16","362.60","402.87"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","337.46","184.08","173.42","162.21","162.47"," ",
"Other Income","70.01","46.88","25.33","37.25","59.92"," ",
"P/L Before Int., Excpt. Items & Tax","407.47","230.96","198.75","199.46","222.39"," ",
"Interest","7.24","1.56","2.83","1.48","3.89"," ",
"P/L Before Exceptional Items & Tax","400.23","229.40","195.92","197.98","218.50"," ",
"Exceptional Items","--","45.91","--","293.35","46.81"," ",
"P/L Before Tax","400.23","275.31","195.92","491.33","265.31"," ",
"Tax","94.32","72.81","48.86","121.19","71.73"," ",
"P/L After Tax from Ordinary Activities","305.91","202.50","147.06","370.14","193.58"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","-0.59","-4.94","-6.78","2.93","-5.38"," ",
"Net Profit/(Loss) For the Period","305.32","197.56","140.28","373.07","188.20"," ",
"Equity Share Capital","42.38","42.38","42.38","42.38","42.38"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","14.41","9.33","6.62","17.61","8.89"," ",
"Diluted EPS","14.41","9.33","6.62","17.61","8.89"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","14.41","9.33","6.62","17.61","8.89"," ",
"Diluted EPS.","14.41","9.33","6.62","17.61","8.89"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
