"Yearly Results of Ador Fontech (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","204.74","146.67","174.92","184.43","150.84"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","204.74","146.67","174.92","184.43","150.84"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","42.78","39.35","37.03","44.82","32.74"," ",
"Purchase of Traded Goods","62.43","34.58","65.53","60.09","49.84"," ",
"Increase/Decrease in Stocks","3.38","2.57","-6.31","-1.66","3.64"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","27.62","23.86","27.80","25.27","23.81"," ",
"Depreciation","2.71","2.47","2.64","2.76","3.02"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","36.43","26.14","33.92","35.88","27.43"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","29.39","17.70","14.31","17.27","10.36"," ",
"Other Income","5.66","2.39","2.74","2.80","3.90"," ",
"P/L Before Int., Excpt. Items & Tax","35.05","20.09","17.05","20.07","14.26"," ",
"Interest","--","--","--","--","--"," ",
"P/L Before Exceptional Items & Tax","35.05","20.09","17.05","20.07","14.26"," ",
"Exceptional Items","--","--","--","--","-0.84"," ",
"P/L Before Tax","35.05","20.09","17.05","20.07","13.42"," ",
"Tax","9.61","7.38","5.72","6.25","4.44"," ",
"P/L After Tax from Ordinary Activities","25.44","12.71","11.33","13.82","8.98"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","25.44","12.71","11.33","13.82","8.98"," ",
"Equity Share Capital","7.00","7.00","7.00","3.50","3.50"," ",
"Reserves Excluding Revaluation Reserves","132.70","114.77","101.79","108.65","100.55"," ",
"Equity Dividend Rate (%)","200.00","110.00","90.00","175.00","150.00"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","7.30","3.60","4.30","7.90","5.40"," ",
"Diluted EPS","7.30","3.60","4.30","7.90","5.40"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","7.30","3.60","4.30","7.90","5.40"," ",
"Diluted EPS.","7.30","3.60","4.30","7.90","5.40"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
