"Cash Flow of Ador Fontech (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"Net Profit/Loss Before Extraordinary Items And Tax","35.05","20.09","17.05","20.07","14.26"," ",
"Net CashFlow From Operating Activities","17.15","5.05","22.69","6.48","2.80"," ",
"Net Cash Used In Investing Activities","-9.03","-4.11","-7.87","-1.01","0.43"," ",
"Net Cash Used From Financing Activities","-8.37","-3.46","-14.47","-6.43","-1.55"," ",
"Foreign Exchange Gains / Losses","0.00","0.00","0.00","0.00","0.00"," ",
"Adjustments On Amalgamation Merger Demerger Others","0.00","0.00","0.00","0.00","0.00"," ",
"Net Inc/Dec In Cash And Cash Equivalents","-0.25","-2.52","0.35","-0.96","1.68"," ",
"Cash And Cash Equivalents Begin of Year","0.52","3.04","2.69","3.65","24.88"," ",
"Cash And Cash Equivalents End Of Year","0.27","0.52","3.04","2.69","26.56"," ",
