"Half Yearly Results of Ador Fontech (in Rs. Cr.)","Sep '22","Mar '22","Sep '21","Mar '21","Mar '20"," ",
"Net Sales/Income from operations","99.27","99.60","105.14","85.77","81.18"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","99.27","99.60","105.14","85.77","81.18"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","27.62","19.77","23.01","24.43","19.02"," ",
"Purchase of Traded Goods","33.40","26.04","36.39","19.54","31.38"," ",
"Increase/Decrease in Stocks","-3.52","3.66","-0.28","0.45","-6.36"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","12.71","14.21","13.41","12.12","15.00"," ",
"Depreciation","1.72","1.52","1.19","1.14","1.20"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","15.10","19.60","16.83","14.99","16.56"," ",
"P/L Before Other","12.24","14.80","14.59","13.10","4.38"," ",
"Other Income","2.19","3.20","2.46","1.49","1.52"," ",
"P/L Before Int.","14.43","18.00","17.05","14.59","5.90"," ",
"Interest","--","--","--","--","--"," ",
"P/L Before Exceptional Items & Tax","14.43","18.00","17.05","14.59","5.90"," ",
"Exceptional Items","--","--","--","--","--"," ",
"P/L Before Tax","14.43","18.00","17.05","14.59","5.90"," ",
"Tax","4.55","5.80","3.81","5.73","2.59"," ",
"P/L After Tax from Ordinary Activities","9.88","12.20","13.24","8.86","3.31"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","9.88","12.20","13.24","8.86","3.31"," ",
"Equity Share Capital","7.00","7.00","7.00","7.00","7.00"," ",
"Reserves Excluding Revaluation Reserves","--","132.70","--","114.77","101.79"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","2.80","3.49","3.90","2.53","0.95"," ",
"Diluted EPS","2.80","--","3.90","--","--"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","2.80","3.49","3.90","2.53","0.95"," ",
"Diluted EPS.","2.80","--","3.90","--","--"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
