"Quarterly Results of Ador Fontech (in Rs. Cr.)","Dec '22","Sep '22","Jun '22","Mar '22","Dec '21"," ",
"Net Sales/Income from operations","52.93","50.53","48.74","50.14","49.46"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","52.93","50.53","48.74","50.14","49.46"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","14.86","10.58","17.04","7.84","11.93"," ",
"Purchase of Traded Goods","15.62","17.97","15.43","16.09","9.95"," ",
"Increase/Decrease in Stocks","-0.16","-0.23","-3.29","0.13","3.53"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","6.56","6.31","6.40","7.84","6.37"," ",
"depreciat","0.92","0.90","0.82","0.89","0.63"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","7.97","8.85","6.25","9.84","9.76"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","7.16","6.15","6.09","7.51","7.29"," ",
"Other Income","1.50","1.11","1.08","2.28","0.92"," ",
"P/L Before Int., Excpt. Items & Tax","8.66","7.26","7.17","9.79","8.21"," ",
"Interest","--","--","--","--","--"," ",
"P/L Before Exceptional Items & Tax","8.66","7.26","7.17","9.79","8.21"," ",
"Exceptional Items","--","--","--","--","--"," ",
"P/L Before Tax","8.66","7.26","7.17","9.79","8.21"," ",
"Tax","1.90","2.44","2.11","4.07","1.73"," ",
"P/L After Tax from Ordinary Activities","6.76","4.82","5.06","5.72","6.48"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","6.76","4.82","5.06","5.72","6.48"," ",
"Equity Share Capital","7.00","7.00","7.00","7.00","7.00"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","1.90","1.40","1.40","1.60","1.80"," ",
"Diluted EPS","1.90","1.40","1.40","1.60","1.80"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","1.90","1.40","1.40","1.60","1.80"," ",
"Diluted EPS.","1.90","1.40","1.40","1.60","1.80"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
