"Key Financial Ratios of Ador Fontech (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
"Per Share Ratios","","","","",""," ",
"Basic EPS (Rs.)","7.30","3.60","4.30","7.90","5.40"," ",
"Diluted EPS (Rs.)","7.30","3.60","4.30","7.90","5.40"," ",
"Cash EPS (Rs.)","8.04","4.34","3.99","9.47","6.86"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","39.91","34.79","31.08","64.09","59.46"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","39.91","34.79","31.08","64.09","59.46"," ",
"Dividend / Share(Rs.)","4.00","2.20","1.80","3.50","3.00"," ",
"Revenue from Operations/Share (Rs.)","58.50","41.91","49.98","105.39","86.19"," ",
"PBDIT/Share (Rs.)","10.79","6.45","5.63","13.05","9.87"," ",
"PBIT/Share (Rs.)","10.01","5.74","4.87","11.47","8.15"," ",
"PBT/Share (Rs.)","10.01","5.74","4.87","11.47","7.67"," ",
"Net Profit/Share (Rs.)","7.27","3.63","3.24","7.90","5.13"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","18.44","15.38","11.25","12.37","11.45"," ",
"PBIT Margin (%)","17.11","13.69","9.74","10.88","9.45"," ",
"PBT Margin (%)","17.11","13.69","9.74","10.88","8.89"," ",
"Net Profit Margin (%)","12.42","8.66","6.47","7.49","5.95"," ",
"Return on Networth / Equity (%)","18.21","10.43","10.41","12.32","8.63"," ",
"Return on Capital Employed (%)","25.08","16.40","15.09","17.33","13.23"," ",
"Return on Assets (%)","15.02","8.48","7.85","9.90","6.80"," ",
"Total Debt/Equity (X)","0.00","0.00","0.00","0.00","0.00"," ",
"Asset Turnover Ratio (%)","1.28","97.93","121.34","132.14","114.29"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","4.44","4.03","3.13","4.44","4.08"," ",
"Quick Ratio (X)","3.68","3.10","2.21","3.55","3.18"," ",
"Inventory Turnover Ratio (X)","1.78","5.81","6.10","8.66","6.92"," ",
"Dividend Payout Ratio (NP) (%)","30.26","0.00","132.21","45.58","0.00"," ",
"Dividend Payout Ratio (CP) (%)","27.35","0.00","107.22","37.99","0.00"," ",
"Earnings Retention Ratio (%)","69.74","0.00","-32.21","54.42","0.00"," ",
"Cash Earnings Retention Ratio (%)","72.65","0.00","-7.22","62.01","0.00"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","205.87","102.54","76.86","152.80","158.50"," ",
"EV/Net Operating Revenue (X)","1.01","0.70","0.44","0.83","1.05"," ",
"EV/EBITDA (X)","5.45","4.55","3.90","6.69","9.17"," ",
"MarketCap/Net Operating Revenue (X)","1.19","0.88","0.56","0.97","1.23"," ",
"Retention Ratios (%)","69.73","0.00","-32.21","54.41","0.00"," ",
"Price/BV (X)","1.75","1.06","0.90","1.59","1.78"," ",
"Price/Net Operating Revenue","1.19","0.88","0.56","0.97","1.23"," ",
"Earnings Yield","0.10","0.10","0.12","0.08","0.05"," ",
