"Yearly Results of Ador Welding (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","661.48","447.28","525.74","512.15","457.74"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","661.48","447.28","525.74","512.15","457.74"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","421.25","326.20","360.26","350.83","321.60"," ",
"Purchase of Traded Goods","58.50","9.47","6.53","9.79","6.94"," ",
"Increase/Decrease in Stocks","-9.90","-11.89","-0.58","1.67","-1.33"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","48.65","37.56","42.51","41.54","38.31"," ",
"Depreciation","10.83","11.10","10.68","9.60","10.08"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","84.59","66.05","74.63","65.31","58.30"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","47.56","8.79","31.71","33.41","23.84"," ",
"Other Income","5.41","7.31","10.16","10.42","9.71"," ",
"P/L Before Int., Excpt. Items & Tax","52.97","16.10","41.87","43.83","33.55"," ",
"Interest","3.72","6.41","8.61","9.05","5.30"," ",
"P/L Before Exceptional Items & Tax","49.25","9.69","33.26","34.78","28.25"," ",
"Exceptional Items","8.98","-25.37","--","--","--"," ",
"P/L Before Tax","58.23","-15.68","33.26","34.78","28.25"," ",
"Tax","13.04","-3.69","4.99","10.93","9.69"," ",
"P/L After Tax from Ordinary Activities","45.19","-11.99","28.27","23.85","18.56"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","45.19","-11.99","28.27","23.85","18.56"," ",
"Equity Share Capital","13.60","13.60","13.60","13.60","13.60"," ",
"Reserves Excluding Revaluation Reserves","268.41","223.83","255.28","249.80","234.11"," ",
"Equity Dividend Rate (%)","125.00","--","65.00","65.00","50.00"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","33.23","-8.82","20.79","17.54","13.65"," ",
"Diluted EPS","9.71","-8.82","20.79","17.54","13.65"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","33.23","-8.82","20.79","17.54","13.65"," ",
"Diluted EPS.","9.71","-8.82","20.79","17.54","13.65"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
