"Cash Flow of Ador Welding (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"Net Profit/Loss Before Extraordinary Items And Tax","58.23","-15.68","33.26","34.78","28.25"," ",
"Net CashFlow From Operating Activities","26.33","78.98","12.99","63.01","-36.92"," ",
"Net Cash Used In Investing Activities","-5.46","-6.54","-21.41","-19.12","0.28"," ",
"Net Cash Used From Financing Activities","-31.37","-60.58","-13.23","-33.34","32.52"," ",
"Foreign Exchange Gains / Losses","0.00","0.00","0.00","0.00","0.00"," ",
"Adjustments On Amalgamation Merger Demerger Others","0.00","0.00","0.00","0.00","0.00"," ",
"Net Inc/Dec In Cash And Cash Equivalents","-10.50","11.86","-21.65","10.55","-4.12"," ",
"Cash And Cash Equivalents Begin of Year","16.88","5.02","26.67","16.12","20.24"," ",
"Cash And Cash Equivalents End Of Year","6.38","16.88","5.02","26.67","16.12"," ",
