"Half Yearly Results of Ador Welding (in Rs. Cr.)","Sep '22","Mar '22","Sep '21","Mar '21","Sep '20"," ",
"Net Sales/Income from operations","342.75","374.09","287.39","296.64","150.64"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","342.75","374.09","287.39","296.64","150.64"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","228.27","220.18","201.07","209.80","116.40"," ",
"Purchase of Traded Goods","13.74","41.78","16.72","7.53","1.94"," ",
"Increase/Decrease in Stocks","-7.40","1.46","-11.36","-6.74","-5.15"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","27.70","25.21","23.44","20.12","17.44"," ",
"Depreciation","5.61","5.48","5.35","5.52","5.58"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","49.01","51.22","33.37","43.11","22.94"," ",
"P/L Before Other","25.82","28.76","18.80","17.30","-8.51"," ",
"Other Income","3.58","2.48","2.93","4.14","3.17"," ",
"P/L Before Int.","29.40","31.24","21.73","21.44","-5.34"," ",
"Interest","0.91","1.64","2.08","2.72","3.69"," ",
"P/L Before Exceptional Items & Tax","28.49","29.60","19.65","18.72","-9.03"," ",
"Exceptional Items","-1.25","1.83","7.15","-25.37","--"," ",
"P/L Before Tax","27.24","31.43","26.80","-6.65","-9.03"," ",
"Tax","6.80","7.63","5.41","-1.40","-2.29"," ",
"P/L After Tax from Ordinary Activities","20.44","23.80","21.39","-5.25","-6.74"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","20.44","23.80","21.39","-5.25","-6.74"," ",
"Equity Share Capital","13.60","13.60","13.60","13.60","13.60"," ",
"Reserves Excluding Revaluation Reserves","--","268.41","--","223.83","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","15.03","17.50","15.73","-3.86","-4.96"," ",
"Diluted EPS","15.03","--","15.73","--","-4.96"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","15.03","17.50","15.73","-3.86","-4.96"," ",
"Diluted EPS.","15.03","--","15.73","--","-4.96"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
