"Nine Months Results of Ador Welding (in Rs. Cr.)","Dec '22","Dec '21","Dec '20","Dec '19","Dec '18"," ",
"Net Sales/Income from operations","541.28","461.67","285.69","385.96","362.14"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","541.28","461.67","285.69","385.96","362.14"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","366.54","315.23","212.42","261.36","246.97"," ",
"Purchase of Traded Goods","20.59","38.40","3.36","4.59","4.31"," ",
"Increase/Decrease in Stocks","-20.30","-25.64","-6.56","0.86","-0.09"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","41.89","36.65","26.82","33.06","30.53"," ",
"Depreciation","8.50","8.01","8.32","7.83","7.06"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","77.10","56.32","45.37","54.20","51.08"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","46.96","32.70","-4.04","24.06","22.28"," ",
"Other Income","5.40","3.99","4.93","8.49","8.50"," ",
"P/L Before Int., Excpt. Items & Tax","52.36","36.69","0.89","32.55","30.78"," ",
"Interest","1.67","2.98","4.90","6.45","6.21"," ",
"P/L Before Exceptional Items & Tax","50.69","33.71","-4.01","26.10","24.57"," ",
"Exceptional Items","-1.46","7.31","--","--","--"," ",
"P/L Before Tax","49.23","41.02","-4.01","26.10","24.57"," ",
"Tax","12.43","9.03","-1.43","4.61","8.15"," ",
"P/L After Tax from Ordinary Activities","36.80","31.99","-2.58","21.49","16.42"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","36.80","31.99","-2.58","21.49","16.42"," ",
"Equity Share Capital","13.60","13.60","13.60","13.60","13.60"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","27.06","23.52","-1.90","15.80","12.07"," ",
"Diluted EPS","27.06","23.52","-1.90","15.80","12.07"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","27.06","23.52","-1.90","15.80","12.07"," ",
"Diluted EPS.","27.06","23.52","-1.90","15.80","12.07"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company) ","--","--","--","--","--"," ",
