"Quarterly Results of Ador Welding (in Rs. Cr.)","Dec '22","Sep '22","Jun '22","Mar '22","Dec '21"," ",
"Net Sales/Income from operations","198.53","184.87","157.88","199.81","174.28"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","198.53","184.87","157.88","199.81","174.28"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","138.27","112.82","115.45","106.02","114.16"," ",
"Purchase of Traded Goods","6.85","7.21","6.53","20.10","21.68"," ",
"Increase/Decrease in Stocks","-12.90","10.27","-17.67","15.74","-14.28"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","14.19","14.06","13.64","12.00","13.21"," ",
"depreciat","2.89","2.85","2.76","2.82","2.66"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","28.09","25.37","23.64","28.27","23.10"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","21.14","12.29","13.53","14.86","13.75"," ",
"Other Income","1.82","1.55","2.03","1.42","1.21"," ",
"P/L Before Int., Excpt. Items & Tax","22.96","13.84","15.56","16.28","14.96"," ",
"Interest","0.76","0.50","0.41","0.74","0.90"," ",
"P/L Before Exceptional Items & Tax","22.20","13.34","15.15","15.54","14.06"," ",
"Exceptional Items","-0.21","--","-1.25","1.67","0.16"," ",
"P/L Before Tax","21.99","13.34","13.90","17.21","14.22"," ",
"Tax","5.63","3.36","3.44","4.01","3.62"," ",
"P/L After Tax from Ordinary Activities","16.36","9.98","10.46","13.20","10.60"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","16.36","9.98","10.46","13.20","10.60"," ",
"Equity Share Capital","13.60","13.60","13.60","13.60","13.60"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","12.03","7.34","7.69","9.71","7.79"," ",
"Diluted EPS","12.03","7.34","7.69","9.71","7.79"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","12.03","7.34","7.69","9.71","7.79"," ",
"Diluted EPS.","12.03","7.34","7.69","9.71","7.79"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
