"Key Financial Ratios of Ador Welding (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
"Per Share Ratios","","","","",""," ",
"Basic EPS (Rs.)","33.23","-8.82","20.79","17.54","13.65"," ",
"Diluted EPS (Rs.)","33.23","-8.82","20.79","17.54","13.65"," ",
"Cash EPS (Rs.)","41.19","-0.65","28.64","24.60","21.06"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","207.36","174.58","197.71","193.68","182.14"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","207.36","174.58","197.71","193.68","182.14"," ",
"Dividend / Share(Rs.)","12.50","0.00","6.50","6.50","5.00"," ",
"Revenue from Operations/Share (Rs.)","486.38","328.88","386.57","376.58","336.57"," ",
"PBDIT/Share (Rs.)","46.91","20.00","38.64","39.29","32.08"," ",
"PBIT/Share (Rs.)","38.95","11.84","30.79","32.23","24.67"," ",
"PBT/Share (Rs.)","42.82","-11.53","24.46","25.57","20.77"," ",
"Net Profit/Share (Rs.)","33.23","-8.82","20.79","17.54","13.65"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","9.64","6.08","9.99","10.43","9.53"," ",
"PBIT Margin (%)","8.00","3.59","7.96","8.55","7.32"," ",
"PBT Margin (%)","8.80","-3.50","6.32","6.79","6.17"," ",
"Net Profit Margin (%)","6.83","-2.68","5.37","4.65","4.05"," ",
"Return on Networth / Equity (%)","16.02","-5.04","10.51","9.05","7.49"," ",
"Return on Capital Employed (%)","18.34","6.64","14.95","15.92","12.98"," ",
"Return on Assets (%)","11.50","-3.19","6.32","5.53","4.31"," ",
"Total Debt/Equity (X)","0.00","0.12","0.30","0.25","0.33"," ",
"Asset Turnover Ratio (%)","1.72","119.24","117.66","118.85","106.33"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","2.20","1.60","1.73","1.80","1.71"," ",
"Quick Ratio (X)","1.33","1.13","1.36","1.47","1.39"," ",
"Inventory Turnover Ratio (X)","5.53","7.16","8.45","9.93","8.50"," ",
"Dividend Payout Ratio (NP) (%)","0.00","0.00","62.53","28.51","36.63"," ",
"Dividend Payout Ratio (CP) (%)","0.00","0.00","45.39","20.32","23.74"," ",
"Earnings Retention Ratio (%)","0.00","0.00","37.47","71.49","63.37"," ",
"Cash Earnings Retention Ratio (%)","0.00","0.00","54.61","79.68","76.26"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","834.51","418.41","322.08","509.45","573.36"," ",
"EV/Net Operating Revenue (X)","1.26","0.94","0.61","0.99","1.25"," ",
"EV/EBITDA (X)","13.08","15.38","6.13","9.53","13.14"," ",
"MarketCap/Net Operating Revenue (X)","1.27","0.91","0.47","0.92","1.11"," ",
"Retention Ratios (%)","0.00","0.00","37.46","71.48","63.36"," ",
"Price/BV (X)","2.98","1.72","0.92","1.79","2.06"," ",
"Price/Net Operating Revenue","1.27","0.91","0.47","0.92","1.11"," ",
"Earnings Yield","0.05","-0.03","0.11","0.05","0.04"," ",
