"Profit & Loss account of Ambuja Cements (in Rs. Cr.)","Dec 22","Dec 21","Dec 20","Dec 19","Dec 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"INCOME","","","","",""," ",
"Revenue From Operations [Gross]","15,729.12","13,793.56","11,174.97","11,352.76","10,977.00"," ",
"Less: Excise/Sevice Tax/Other Levies","0.00","0.00","0.00","0.00","0.00"," ",
"Revenue From Operations [Net]","15,729.12","13,793.56","11,174.97","11,352.76","10,977.00"," ",
"Total Operating Revenues","15,729.12","13,964.95","11,371.86","11,667.88","11,356.76"," ",
"Other Income","803.87","285.64","372.00","426.52","374.98"," ",
"Total Revenue","16,532.99","14,250.59","11,743.86","12,094.40","11,731.74"," ",
"EXPENSES","","","","",""," ",
"Cost Of Materials Consumed","1,305.55","4,555.26","3,126.79","3,580.84","3,558.92"," ",
"Purchase Of Stock-In Trade ","642.97","381.39","197.31","88.27","5.96"," ",
"Operating And Direct Expenses","0.00","0.00","0.00","0.00","0.00"," ",
"Changes In Inventories Of FG,WIP And Stock-In Trade","-53.64","-356.13","114.08","42.80","-72.87"," ",
"Employee Benefit Expenses","632.16","677.65","668.78","672.63","679.57"," ",
"Finance Costs","94.50","90.94","83.05","83.52","82.33"," ",
"Depreciation And Amortisation Expenses","627.72","551.24","521.17","543.83","548.09"," ",
"Other Expenses","10,795.47","5,519.48","4,639.42","5,140.64","5,294.71"," ",
"Total Expenses","14,044.73","11,399.65","9,329.48","10,146.38","10,095.72"," ",
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","2,488.26","2,850.94","2,414.38","1,948.02","1,636.02"," ",
"Exceptional Items","-76.56","-65.69","0.00","0.00","-129.95"," ",
"Profit/Loss Before Tax","2,411.70","2,785.25","2,414.38","1,948.02","1,506.07"," ",
"Tax Expenses-Continued Operations","","","","",""," ",
"Current Tax","360.61","690.79","652.04","573.00","478.00"," ",
"Less: MAT Credit Entitlement","0.00","0.00","0.00","0.00","0.00"," ",
"Deferred Tax","0.00","13.92","-27.76","-153.52","-86.93"," ",
"Tax For Earlier Years","0.00","0.00","0.00","0.00","-372.01"," ",
"Total Tax Expenses","360.61","704.71","624.28","419.48","19.06"," ",
"Profit/Loss After Tax And Before ExtraOrdinary Items","2,051.09","2,080.54","1,790.10","1,528.54","1,487.01"," ",
"Profit/Loss From Continuing Operations","2,051.09","2,080.54","1,790.10","1,528.54","1,487.01"," ",
"Profit/Loss For The Period","2,051.09","2,080.54","1,790.10","1,528.54","1,487.01"," ",
"OTHER ADDITIONAL INFORMATION","","","","",""," ",
"EARNINGS PER SHARE","","","","",""," ",
"Basic EPS (Rs.)","10.33","10.48","9.02","7.70","7.49"," ",
"Diluted EPS (Rs.)","10.11","10.48","9.01","7.70","7.49"," ",
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"DIVIDEND AND DIVIDEND PERCENTAGE","","","","",""," ",
"Equity Share Dividend","0.00","0.00","3,375.60","297.85","397.13"," ",
"Tax On Dividend","0.00","0.00","0.00","34.18","52.65"," ",
"Equity Dividend Rate (%)","0.00","315.00","900.00","75.00","75.00"," ",
