"Yearly Results of Ambuja Cements (in Rs. Cr.)","Dec '22","Dec '21","Dec '20","Dec '19","Dec '18"," ",
"Net Sales/Income from operations","15,729.12","13,964.95","11,371.86","11,667.88","11,356.76"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","15,729.12","13,964.95","11,371.86","11,667.88","11,356.76"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","1,305.55","1,134.25","874.88","994.42","1,013.08"," ",
"Purchase of Traded Goods","642.97","381.39","197.31","88.27","5.96"," ",
"Increase/Decrease in Stocks","-53.64","-356.13","114.08","42.80","-76.72"," ",
"Power & Fuel","4,978.65","3,421.01","2,251.91","2,586.42","2,548.99"," ",
"Employees Cost","632.16","677.65","668.78","672.63","679.57"," ",
"Depreciation","627.72","551.24","521.17","543.83","548.09"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","5,816.82","5,499.30","4,618.30","5,134.49","5,294.42"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","1,778.89","2,656.24","2,125.43","1,605.02","1,343.37"," ",
"Other Income","803.87","285.64","372.00","426.52","374.98"," ",
"P/L Before Int., Excpt. Items & Tax","2,582.76","2,941.88","2,497.43","2,031.54","1,718.35"," ",
"Interest","94.50","90.94","83.05","83.52","82.33"," ",
"P/L Before Exceptional Items & Tax","2,488.26","2,850.94","2,414.38","1,948.02","1,636.02"," ",
"Exceptional Items","-76.56","-65.69","--","--","-129.95"," ",
"P/L Before Tax","2,411.70","2,785.25","2,414.38","1,948.02","1,506.07"," ",
"Tax","360.61","704.71","624.28","419.48","19.06"," ",
"P/L After Tax from Ordinary Activities","2,051.09","2,080.54","1,790.10","1,528.54","1,487.01"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","2,051.09","2,080.54","1,790.10","1,528.54","1,487.01"," ",
"Equity Share Capital","397.13","397.13","397.13","397.13","397.13"," ",
"Reserves Excluding Revaluation Reserves","22,610.35","21,810.13","19,918.73","21,808.05","20,615.40"," ",
"Equity Dividend Rate (%)","--","315.00","900.00","75.00","75.00"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","10.33","10.48","9.02","7.70","7.49"," ",
"Diluted EPS","10.11","10.48","9.01","7.70","7.49"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","10.33","10.48","9.02","7.70","7.49"," ",
"Diluted EPS.","10.11","10.48","9.01","7.70","7.49"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
