"Cash Flow of Ambuja Cements (in Rs. Cr.)","Dec 22","Dec 21","Dec 20","Dec 19","Dec 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"Net Profit/Loss Before Extraordinary Items And Tax","0.00","2,785.25","2,414.38","1,948.02","1,506.07"," ",
"Net CashFlow From Operating Activities","0.00","2,466.26","2,606.24","2,484.04","571.88"," ",
"Net Cash Used In Investing Activities","0.00","-881.75","-641.49","-738.03","-254.33"," ",
"Net Cash Used From Financing Activities","0.00","-316.82","-3,760.44","-386.79","-478.37"," ",
"Foreign Exchange Gains / Losses","0.00","0.00","0.00","0.00","0.00"," ",
"Adjustments On Amalgamation Merger Demerger Others","0.00","0.10","0.31","2.74","0.51"," ",
"Net Inc/Dec In Cash And Cash Equivalents","0.00","1,267.79","-1,795.38","1,361.96","-160.31"," ",
"Cash And Cash Equivalents Begin of Year","0.00","2,716.91","4,512.29","3,150.33","3,310.64"," ",
"Cash And Cash Equivalents End Of Year","0.00","3,984.70","2,716.91","4,512.29","3,150.33"," ",
