"Half Yearly Results of Ambuja Cements (in Rs. Cr.)","Dec '22","Jun '22","Dec '21","Jun '21","Dec '20"," ",
"Net Sales/Income from operations","7,798.92","7,918.67","6,972.38","6,992.57","6,367.57"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","7,798.92","7,918.67","6,972.38","6,992.57","6,367.57"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","683.93","623.52","543.71","590.54","482.43"," ",
"Purchase of Traded Goods","327.79","315.18","230.47","150.92","112.18"," ",
"Increase/Decrease in Stocks","32.25","-85.81","-133.89","-222.24","108.70"," ",
"Power & Fuel","2,625.79","2,350.69","1,126.33","1,523.25","1,275.84"," ",
"Employees Cost","312.75","316.59","346.91","330.74","347.18"," ",
"Depreciation","321.89","305.41","295.45","255.79","254.36"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","2,885.94","2,923.55","3,587.81","2,682.92","2,593.08"," ",
"P/L Before Other","608.58","1,169.54","975.59","1,680.65","1,193.80"," ",
"Other Income","136.02","669.14","69.45","216.19","91.71"," ",
"P/L Before Int.","744.60","1,838.68","1,045.04","1,896.84","1,285.51"," ",
"Interest","48.04","46.47","46.69","44.25","41.74"," ",
"P/L Before Exceptional Items & Tax","696.56","1,792.21","998.35","1,852.59","1,243.77"," ",
"Exceptional Items","-76.56","--","-65.69","--","--"," ",
"P/L Before Tax","620.00","1,792.21","932.66","1,852.59","1,243.77"," ",
"Tax","113.12","249.14","239.77","464.94","306.14"," ",
"P/L After Tax from Ordinary Activities","506.88","1,543.07","692.89","1,387.65","937.63"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","506.88","1,543.07","692.89","1,387.65","937.63"," ",
"Equity Share Capital","397.13","397.13","397.13","397.13","397.13"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","2.55","7.77","3.49","6.99","4.72"," ",
"Diluted EPS","--","7.77","--","6.99","--"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","2.55","7.77","3.49","6.99","4.72"," ",
"Diluted EPS.","--","7.77","--","6.99","--"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
