"Nine Months Results of Ambuja Cements (in Rs. Cr.)","Sep '22","Sep '21","Sep '20","Sep '19","Sep '18"," ",
"Net Sales/Income from operations","11,589.07","10,229.83","7,856.75","8,532.00","8,493.43"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","11,589.07","10,229.83","7,856.75","8,532.00","8,493.43"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","929.22","842.05","608.80","739.10","774.46"," ",
"Purchase of Traded Goods","436.38","265.81","142.99","63.08","4.23"," ",
"Increase/Decrease in Stocks","-216.73","-319.22","-14.12","-39.95","-47.66"," ",
"Power & Fuel","3,765.36","--","1,550.94","1,917.19","1,839.62"," ",
"Employees Cost","469.82","499.89","483.80","503.65","508.67"," ",
"Depreciation","462.47","381.49","395.47","395.17","411.60"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","4,425.74","6,301.70","3,205.57","3,747.47","3,926.53"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","1,316.81","2,258.11","1,483.30","1,206.29","1,075.98"," ",
"Other Income","716.17","252.41","332.56","360.91","290.03"," ",
"P/L Before Int., Excpt. Items & Tax","2,032.98","2,510.52","1,815.86","1,567.20","1,366.01"," ",
"Interest","69.26","65.72","59.76","59.85","64.13"," ",
"P/L Before Exceptional Items & Tax","1,963.72","2,444.80","1,756.10","1,507.35","1,301.88"," ",
"Exceptional Items","-15.21","--","--","--","--"," ",
"P/L Before Tax","1,948.51","2,444.80","1,756.10","1,507.35","1,301.88"," ",
"Tax","267.55","615.92","463.10","433.71","352.24"," ",
"P/L After Tax from Ordinary Activities","1,680.96","1,828.88","1,293.00","1,073.64","949.64"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","1,680.96","1,828.88","1,293.00","1,073.64","949.64"," ",
"Equity Share Capital","397.13","397.13","397.13","397.13","397.13"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","8.47","9.21","6.51","5.41","4.78"," ",
"Diluted EPS","8.46","9.21","6.51","5.41","4.78"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","8.47","9.21","6.51","5.41","4.78"," ",
"Diluted EPS.","8.46","9.21","6.51","5.41","4.78"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company) ","--","--","--","--","--"," ",
