"Quarterly Results of Ambuja Cements (in Rs. Cr.)","Dec '22","Sep '22","Jun '22","Mar '22","Dec '21"," ",
"Net Sales/Income from operations","4,128.52","3,670.40","3,993.45","3,925.22","3,735.12"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","4,128.52","3,670.40","3,993.45","3,925.22","3,735.12"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","378.23","305.70","311.79","311.73","292.20"," ",
"Purchase of Traded Goods","206.59","121.20","165.30","149.88","115.58"," ",
"Increase/Decrease in Stocks","163.17","-130.92","-155.37","69.56","-36.91"," ",
"Power & Fuel","1,211.12","1,414.67","1,319.82","1,030.87","1,126.33"," ",
"Employees Cost","159.52","153.23","163.65","152.94","177.76"," ",
"depreciat","164.83","157.06","153.94","151.47","169.75"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","1,383.75","1,502.19","1,503.72","1,419.83","1,492.28"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","461.31","147.27","530.60","638.94","398.13"," ",
"Other Income","88.99","47.03","632.43","36.71","33.23"," ",
"P/L Before Int., Excpt. Items & Tax","550.30","194.30","1,163.03","675.65","431.36"," ",
"Interest","25.25","22.79","25.08","21.39","25.22"," ",
"P/L Before Exceptional Items & Tax","525.05","171.51","1,137.95","654.26","406.14"," ",
"Exceptional Items","-61.35","-15.21","--","--","-65.69"," ",
"P/L Before Tax","463.70","156.30","1,137.95","654.26","340.45"," ",
"Tax","94.71","18.41","90.05","159.09","88.79"," ",
"P/L After Tax from Ordinary Activities","368.99","137.89","1,047.90","495.17","251.66"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","368.99","137.89","1,047.90","495.17","251.66"," ",
"Equity Share Capital","397.13","397.13","397.13","397.13","397.13"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","1.86","0.69","5.28","2.49","1.27"," ",
"Diluted EPS","1.71","0.69","5.28","2.49","1.27"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","1.86","0.69","5.28","2.49","1.27"," ",
"Diluted EPS.","1.71","0.69","5.28","2.49","1.27"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
